Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,107503052.412499,-4.97836516776336,6.17386886394963,2.98671528996989,-1.28241605917152,2.01945136721248,-5.91981689695547,-10.7714457448195,-0.049471444638222
2,55189984.7537409,-4.57826773078468,6.17389308912443,2.72220162133559,-1.28616909169813,1.76490102381092,-5.51253725498587,-10.772260485455,-0.783819608861195
3,28271887.9001335,-3.97230294962503,6.17401283102993,2.05274734154087,-1.29857231939759,1.15491006409818,-4.88526201336184,-10.7736396099628,-2.33910694411229
4,14004037.825936,-3.29557973464168,6.1746458729902,0.0163935489156439,-1.37119128365623,-0.216292280127496,-4.17657088967628,-10.7746706498387,-5.34037250487212
5,314095198415715456,-4.49351442299609,6.1732026330604,-2.30799719094842,-1.94865501604283,6.74459311908651,-5.86566995023024,-10.7750869075994,-2.99054009061748
6,104771062603.177,-3.54270830057576,6.17426501929443,-0.600147251464853,-1.52436649506337,1.49272176106894,-4.54435850454361,-10.7747712586931,-4.64802476699297
7,7141991.80492293,-3.29652278841309,6.17453803403717,-0.16474349123555,-1.41620159602294,0.164964131365599,-4.20501406096404,-10.7746918084581,-5.07769955662454
8,32673646381.7994,-3.30361298644412,6.17447037838562,-0.650713503790061,-1.55509637377121,1.00849854378515,-4.24869615872476,-10.7747169493406,-4.90153860495312
9,4622839.19914146,-3.23176766628559,6.17450799440957,-0.300323957046279,-1.45492943675894,0.311232456218079,-4.14663702371859,-10.7746952362928,-4.96098381838034
10,2321547.13052232,-2.95182000500927,6.17362765907551,-0.0279555838299824,-1.36732507204821,0.508850636041229,-4.0957731781829,-10.7751997596883,-4.74160025886629
11,1145617.38891206,-2.27003539604007,6.17180642234221,0.463751613714223,-1.23485546667629,0.883041423743206,-4.3193242381605,-10.776082309299,-4.4486025375743
12,1400535.9346937,-0.768695777376796,6.1698335897488,0.648300841093113,-1.19716036619779,1.0239658683123,-5.58814246516263,-10.7779484295222,-4.16446657578349
13,580553.02796802,-1.90869005169685,6.17134199693172,0.547594071022685,-1.21859114216944,0.941574450908348,-4.5286653171977,-10.7764722519647,-4.19387663423019
14,312244.766957902,-1.15518457295004,6.1706799351704,0.645237857776543,-1.20057786931725,1.01244588677354,-5.1167563748762,-10.7775546768549,-3.92649068906824
15,162365.505251463,-1.14520200304998,5.69202546916818,0.493264931428723,-0.276456028778696,0.998552102004821,-5.04251936553716,-12.4602654972063,-3.68884966540435
16,1241555.26811279,-1.14895654544681,3.87948899407676,-0.876817261154465,2.69420680143495,1.0111590096547,-4.98822130718555,-13.8500264695615,-3.40910687778676
17,102231.090465348,-1.14194844563301,5.25221102091363,0.180344114867085,0.453629012229025,1.01907482786212,-4.97566093528133,-12.7615248315735,-3.40607663387441
18,5994282021857.69,-2.03236714107557,5.25030707641838,-0.425216807091148,-0.338559952366636,2.38228031038137,-4.52350296039647,-12.7633855846602,-3.01864399688542
19,5158154.40949952,-1.29694857607072,5.25170609762827,0.0164421225883522,0.239193091684613,1.30111566421525,-4.85521232108749,-12.7619412746321,-3.16302725192447
20,66351.9595089839,-1.0968078950623,5.25165167881525,0.149290178506481,0.413919060682456,1.01553815242414,-4.9097073489796,-12.7615443374129,-3.3243245292191
21,39375.2734161318,-1.12546999917081,5.25103842659453,0.083123879069473,0.328912929702382,1.08525767094893,-4.82722374263177,-12.7617282824649,-3.12834061197141
22,19997.7411007512,-1.12080961306166,5.02221574557599,-0.100650310591651,0.546469887608864,1.12328444142765,-4.78050307823202,-12.8454724318341,-2.80295997921454
23,10727.3398762844,-1.12664389656957,4.35585152982464,-0.628689703950121,0.8483707274979,1.14686441684541,-4.76110273580155,-13.1251402483586,-2.47614439056367
24,5202.96648123799,-1.19768373858851,2.71385177987511,-1.33730023699323,0.89352730479662,1.13003427580347,-4.83118099279899,-13.9569841906162,-2.16395332702814
25,540675092622717632,-2.88330791740696,2.58084453634245,-1.57378381765975,-1.15415184130118,3.74206175761878,-3.50189256554962,-14.0027829101508,-1.61598305548287
26,1572645435470.06,-1.55752495797586,2.68663487989382,-1.39934294394714,0.342807637425732,1.73780697591938,-4.53613221293085,-13.9679889915998,-1.83827013047372
27,3390.91641326616,-1.20607759312969,2.71799801909966,-1.35108528976715,0.753366908219553,1.18561589242935,-4.76870849182129,-13.9586404768195,-1.97532004606088
28,1754.65225439333,-1.23882712654838,2.36933220145393,-1.42924069164563,0.674337164618926,1.14910485173132,-4.82714884667894,-14.0656864871186,-1.66099779933208
29,927.013473050365,-1.31916161490464,1.6487065093232,-1.58838545894074,0.434140861374299,1.02914536403694,-5.00090556146368,-14.5712322778959,-1.3592257035064
30,529.57809123257,-1.44180972645201,0.647014003667436,-1.74005234718211,-0.0679686787233491,0.781347921842468,-5.30971246515934,-16.1437904047154,-1.08219272185553
31,1220.14769326831,-1.70967515909798,-1.19484133348878,0.365528313117754,-0.943240690159631,0.901113786137786,-5.31833125212838,-18.8349161389022,-0.799937368047184
32,292.08040555744,-1.50940083033572,0.0925393849571436,-1.2409817039825,-0.362934842932316,0.783573789470592,-5.33543217166038,-16.6721009438614,-0.813614429229391
33,254.603774154962,-1.73003945063214,-1.14842668364968,-0.413273412012186,-0.708466597019252,1.45924350304048,-4.7927106491516,-17.5523256136306,-0.529085249270826
34,3608968056294671,-1.57072823333234,-0.841548277124382,-0.0796295064720197,-2.41571719369578,1.71917091747192,-4.43395496185898,-18.3564135741493,-0.636776350434203
35,481.704894632026,-1.61501047536026,-1.07427975835541,-0.326023307108871,-1.1242555652606,1.4683016047986,-4.68133660758319,-17.746477896799,-0.553502171914359
36,200.893800976647,-1.6654631384,-1.13655332663361,-0.392133238201839,-0.773287378405962,1.40870170472615,-4.73913696985232,-17.5817793136209,-0.509768165905307
37,187.762837401342,-1.58990852742727,-1.09611959375843,-0.340883589320664,-0.979041464057154,1.4019890947754,-4.69680771152321,-17.6718205163015,-0.493922021370758
38,172.978697562644,-1.54110689046868,-1.22513961807126,-0.319724320204836,-1.04922465468381,1.37411039922078,-4.71131977683939,-17.8632496720457,-0.472336816962262
39,159.877241213031,-1.52173931911116,-1.4712519346351,-0.318882863398943,-1.20238601445672,1.36272070831853,-4.73822836532422,-18.2687268148178,-0.45419845963548
40,138.987187788994,-1.52605727341525,-1.90127231981102,-0.354140353173153,-1.50723397738122,1.32921789099563,-4.7721189692175,-19.1163516057529,-0.466370812819319
41,100.178759437449,-1.54370176007097,-2.30639549968676,-0.585891846256712,-1.86955436617589,1.15531224640811,-4.93014326425683,-21.0118129627667,-0.51722139074937
42,27.10462726422,-1.55815472525799,-2.72601367689798,-0.827136761855189,-2.26638260664489,0.968727683993093,-5.11101881599601,-24.9538700141147,-0.54360148297764
43,-114.536863467006,-1.56907198732339,-3.08882179189299,-1.05009751116082,-2.62041852062931,0.792975754509177,-5.2857611521038,-32.9307780586185,-0.555315273705808
44,-288.631674423349,-1.57410258227464,-3.30977108796855,-1.18357662618898,-2.83756456945414,0.684787419596326,-5.39378441534236,-42.9239147197359,-0.558617618709885
45,-460.475322122381,-1.57593506994415,-3.40937135896883,-1.2421178881963,-2.93521373328222,0.636771190238819,-5.4414970283175,-52.9225410446532,-0.560474475002006
46,-630.275880574923,-1.57659533144685,-3.44798773512048,-1.26440328719268,-2.97285223107382,0.618530921728185,-5.45953063744746,-62.9221837025459,-0.561488116698203
47,-798.074168907315,-1.57682356090016,-3.46179019216118,-1.27228213791438,-2.98623716337756,0.612102344103211,-5.46585347557812,-72.9221837025459,-0.561929565129219
48,-963.871420685685,-1.57690085156861,-3.46655275391747,-1.27498157466115,-2.99083953728798,0.609903193262104,-5.46800915025969,-82.9221837025459,-0.562097360533406
49,-1127.66855062012,-1.57692664636841,-3.46816532415794,-1.2758910092397,-2.9923944161312,0.609162498756214,-5.46873367874334,-92.9221837025459,-0.562157158481195
50,-1289.46566652241,-1.57693514486906,-3.4687037903801,-1.27619346865727,-2.99291284598493,0.608916066669183,-5.46897439622446,-102.922183702546,-0.562177748350924
51,-1449.26278108728,-1.57693790738212,-3.46888133936715,-1.27629284131684,-2.99308359344717,0.608835048863868,-5.46905345155243,-112.922183702546,-0.562184688656843
52,-1607.05989284731,-1.57693879388429,-3.46893917147171,-1.27632510002168,-2.9931391553036,0.608808728465315,-5.46907911016222,-122.922183702546,-0.562186992158686
53,-1762.85699490026,-1.57693907308884,-3.46895799823006,-1.27633560767664,-2.99315724060527,0.608800156682056,-5.46908747505929,-132.922183702546,-0.562187732243963
54,-1916.65412410913,-1.57693909902021,-3.46896308703387,-1.27633812701681,-2.99316202601741,0.608798036835486,-5.46908949021152,-142.922183702546,-0.562187922327632
55,-2068.45123839615,-1.57693918474313,-3.46896537658655,-1.27633963838888,-2.99316429325764,0.608796848558508,-5.46909067960165,-152.922183702546,-0.562188066343761
56,-2218.24835271015,-1.57693919913487,-3.46896606890706,-1.27634002899215,-2.99316496108169,0.60879653299979,-5.46909098318507,-162.922183702546,-0.562188090208308
57,-2366.04546696315,-1.57693920246617,-3.46896627792249,-1.2763401460328,-2.99316516210566,0.608796437620192,-5.46909107546277,-172.922183702546,-0.56218809934754
58,-2511.84258130526,-1.57693920120718,-3.46896633404185,-1.27634017474191,-2.99316521513945,0.608796413649162,-5.46909109930727,-182.922183702546,-0.56218810180907
59,-2655.63969560136,-1.57693920198381,-3.46896635343945,-1.27634018622048,-2.99316523388039,0.608796404503984,-5.46909110837171,-192.922183702546,-0.562188102677985
