Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,8580275.10212085,-3.63331876004089,6.02469878538433,8.97542896722118,4.54133663710879,-1.62960472478968,1.11419377303237,-6.7537850908685,1.1636244154776
2,4437838.1118442,-3.63371743471491,6.02667096967609,8.11929012643516,4.5228462440883,-1.62957269868275,1.10984182796043,-6.77093244600652,0.647516510290595
3,2450444.95947623,-3.63888953924063,6.05415444863707,6.53900756081322,4.39889496633726,-1.62964692267873,1.0938933026205,-6.8010241210016,-0.571253809689684
4,3529760.47412231,-3.71713707324508,6.19199114698242,3.48162198919762,3.77420221581317,-1.63066993934092,1.00413445758209,-6.8316095809734,-3.06685747107026
5,1340452.33797428,-3.66071329307359,6.05388076559633,5.66581398904502,4.28630280963854,-1.62980571215907,1.07043704511077,-6.80745757086423,-1.04431620467712
6,1041965.45985323,-3.7485247101414,5.97799709335514,4.00954139490169,3.98611817481311,-1.63057293302059,0.988201630973978,-6.82243552427611,-2.11492047831399
7,520644.386143234,-4.08368885003085,4.77231588833034,3.0378592739794,2.98931369740887,-1.68909873600594,1.14365249754941,-6.91738306861052,-2.79286388616375
8,17014929.7089724,-4.5776230889998,5.93241529305618,0.958986859882569,5.92927684632173,-1.49814877999998,0.104303667102114,-6.97178170854951,-2.2223926421568
9,357602.110459971,-4.34877750886553,4.72563051497358,2.53515773496078,3.64306803484349,-1.64935231594152,0.769791313682365,-6.92871960014227,-2.46734210783542
10,441562.897152026,-4.71370642433568,4.19736294912055,0.751103371032506,4.04780376528972,-1.62803253612475,0.325347073108963,-7.01220540204081,-2.27722586550563
11,182970.520599728,-4.40818141126925,4.41837976195758,2.21443783090121,3.45264239289528,-1.64580106923832,0.694831412382926,-6.94051825705016,-2.38264168118287
12,121952.184325532,-4.61543140486888,4.08990912534312,1.39570431845101,3.64159158391158,-1.61707375367421,0.428182304516612,-6.96974294289578,-2.1174115317493
13,87980.1037548978,-5.03043047911839,3.05478587423869,-0.14782764573625,3.76968355244383,-1.57372356870799,-0.0802944698863052,-7.10420135950074,-1.83653751713435
14,73628.2029426624,-5.99024128376997,0.715412687858038,-2.87909383607386,3.73749602342063,-1.57863833458192,-1.19184498078945,-8.02218356980869,-1.57768380220167
15,55692.6654544133,-6.48045592799619,-0.97648025561447,-4.48854423130847,3.03389193057953,-2.06495753963228,-1.99777814157903,-11.0037162641494,-1.76807414658609
16,36119.2631883264,-6.7382832797247,-2.23756028013454,-5.60045860342132,2.42045586626852,-2.64144748515231,-2.7667909676418,-14.4396376076421,-1.73245465563714
17,21459.5151454223,-6.68186088454474,-3.30366066003558,-6.47579518945742,1.81462972342628,-3.2045850687305,-3.66859347526918,-22.2233508976969,-1.63064943560077
18,11305.3000604011,-6.2487961916519,-3.72561327703399,-6.71242673336819,1.35742411562283,-3.33922013222685,-4.37321785871987,-32.1648457486951,-1.48421113922685
19,5852.94715867038,-5.568949759562,-3.90939842752362,-6.6709197752146,0.900409421666408,-3.22931799105695,-5.08550043967106,-42.1016049957406,-1.29756085449765
20,2910.59601507347,-4.48440037842748,-3.91640532017117,-6.39277228669522,0.387001958029963,-2.91007493497456,-5.98705809529358,-51.9771926573323,-1.09557922332539
21,1331.99169848573,-2.1545953613918,-3.63227509443946,-5.67229707656058,-0.331336478408193,-2.1801920318289,-7.73251381548262,-61.4554303762002,-0.89201775803845
22,2911.97887265051,-0.698735393631603,-3.2184351920503,-4.96493469031979,-0.910749929986793,-1.57547365136271,-8.40223543447435,-71.2563656554576,-0.916083429224005
23,668.957262237349,-1.06547449047829,-3.38654291340723,-5.33374260891441,-0.55899828216011,-1.94556535875804,-8.39839442806973,-63.538345075736,-0.896867947257401
24,-64.1519265803957,-1.10357694138948,-3.09842959781907,-4.90857191127214,-0.803007391190055,-1.63972283152746,-7.94452749675428,-68.4754651458088,-0.915290641461126
25,765034135908.353,-1.1190835648048,-2.77170470852473,-2.60766281970721,-3.68569455460232,0.692130601334243,-6.11884269043757,-77.2674310693196,-0.44669192824437
26,-365.732163633407,-1.17640919606274,-3.04692548150662,-4.30009632827807,-1.49504538680912,-1.08315957256785,-7.46613382135262,-70.6669071277281,-0.687600585090642
