"STUDY","CONDITION","ID","USUBJID","TIME","DV","YTYPE","IXGDF","MDV","AMT","ADM","TINF","NT","TIMEUNIT","NAME","ADDL","II","UNIT","TRTNAME","TRT","DOSE","ROUTE","EVID","CENS","RATE","TAD","TIMEPOS","WT","LVW","CMT2"
18,18,18,18,1,6.69,1,36,0,"NA",.,0,1,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",1,1,29.03,1.4717,2
19,19,19,19,0,.,.,37,1,"281000",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,28.1,1.464,2
19,19,19,19,2,0.9,1,38,0,"NA",.,0,2,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",2,2,28.1,1.464,2
20,20,20,20,0,.,.,39,1,"276700",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,27.67,1.4273,2
20,20,20,20,2,4.8,1,40,0,"NA",.,0,2,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",2,2,27.67,1.4273,2
21,21,21,21,0,.,.,41,1,"265200",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,26.52,1.2356,2
21,21,21,21,2,3.6,1,42,0,"NA",.,0,2,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",2,2,26.52,1.2356,2
25,25,25,25,0,.,.,43,1,"270300",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,27.03,1.5917,2
25,25,25,25,4,1.02,1,44,0,"NA",.,0,4,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",4,4,27.03,1.5917,2
26,26,26,26,0,.,.,45,1,"282900",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,28.29,1.5331,2
26,26,26,26,4,0.03,1,46,0,"NA",.,0,4,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",4,4,28.29,1.5331,2
27,27,27,27,0,.,.,47,1,"278400",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,27.84,1.5836,2
27,27,27,27,4,1.2,1,48,0,"NA",.,0,4,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",4,4,27.84,1.5836,2
29,29,29,29,0,.,.,51,1,"265100",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,26.51,1.7962,2
29,29,29,29,6,0.6,1,52,0,"NA",.,0,6,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",6,6,26.51,1.7962,2
30,30,30,30,0,.,.,53,1,"289400",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,28.94,1.7962,2
30,30,30,30,6,3.05,1,54,0,"NA",.,0,6,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",6,6,28.94,1.7962,2
31,31,31,31,0,.,.,55,1,"282100",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,28.21,1.7962,2
31,31,31,31,8,0.61,1,56,0,"NA",.,0,8,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",8,8,28.21,1.7962,2
32,32,32,32,0,.,.,57,1,"272000",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,27.2,1.6345,2
32,32,32,32,8,0.85,1,58,0,"NA",.,0,8,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",8,8,27.2,1.6345,2
33,33,33,33,0,.,.,59,1,"277200",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,27.72,1.7872,2
33,33,33,33,8,0.38,1,60,0,"NA",.,0,8,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",8,8,27.72,1.7872,2
67,67,67,67,0,.,.,154,1,"280000",1,0,0.017,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.017,0,28,1.4,2
67,67,67,67,0.017,7256,1,155,0,"NA",.,0,0.017,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.017,0.017,28,1.4,2
68,68,68,68,0,.,.,156,1,"280000",1,0,0.017,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.017,0,28,1.4,2
68,68,68,68,0.017,8399.9,1,157,0,"NA",.,0,0.017,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.017,0.017,28,1.4,2
69,69,69,69,0,.,.,158,1,"280000",1,0,0.017,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.017,0,28,1.4,2
69,69,69,69,0.017,10783.4,1,159,0,"NA",.,0,0.017,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.017,0.017,28,1.4,2
70,70,70,70,0,.,.,160,1,"280000",1,0,0.083,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.083,0,28,1.4,2
70,70,70,70,0.083,1942.4,1,161,0,"NA",.,0,0.083,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.083,0.083,28,1.4,2
71,71,71,71,0,.,.,162,1,"280000",1,0,0.083,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.083,0,28,1.4,2
71,71,71,71,0.083,1919.4,1,163,0,"NA",.,0,0.083,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.083,0.083,28,1.4,2
72,72,72,72,0,.,.,164,1,"280000",1,0,0.083,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.083,0,28,1.4,2
72,72,72,72,0.083,1731.5,1,165,0,"NA",.,0,0.083,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.083,0.083,28,1.4,2
73,73,73,73,0,.,.,166,1,"280000",1,0,0.25,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.25,0,28,1.4,2
73,73,73,73,0.25,211.7,1,167,0,"NA",.,0,0.25,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.25,0.25,28,1.4,2
74,74,74,74,0,.,.,168,1,"280000",1,0,0.25,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0.25,0,28,1.4,2
74,74,74,74,0.25,308.5,1,169,0,"NA",.,0,0.25,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.25,0.25,28,1.4,2
