STUDY,CONDITION,ID,USUBJID,TIME,DV,YTYPE,IXGDF,MDV,AMT,ADM,TINF,NT,TIMEUNIT,NAME,ADDL,II,UNIT,TRTNAME,TRT,DOSE,ROUTE,EVID,CENS,RATE,TAD,TIMEPOS,WT,LVW,CMT2
1,1,1,1,0,.,.,1,1,276800,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.68,1.3003,2
1,1,1,1,0.033,7333.59,1,2,0,NA,.,0,0.033,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.033,0.033,27.68,1.3003,2
1,1,2,2,0,.,.,3,1,269800,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,26.98,1.3003,2
1,1,2,2,0.033,4663.91,1,4,0,NA,.,0,0.033,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.033,0.033,26.98,1.3003,2
1,1,3,3,0,.,.,5,1,295700,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,29.57,1.3003,2
1,1,3,3,0.033,3794.48,1,6,0,NA,.,0,0.033,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.033,0.033,29.57,1.3003,2
1,1,4,4,0,.,.,7,1,298400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,29.84,1.3003,2
1,1,4,4,0.083,1191.5,1,8,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.083,0.083,29.84,1.3003,2
1,1,5,5,0,.,.,9,1,279700,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.97,1.3003,2
1,1,5,5,0.083,1178.81,1,10,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.083,0.083,27.97,1.3003,2
1,1,6,6,0,.,.,11,1,305200,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,30.52,1.3003,2
1,1,6,6,0.083,1258.79,1,12,0,NA,.,0,0.083,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.083,0.083,30.52,1.3003,2
1,1,7,7,0,.,.,13,1,282000,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.2,1.3003,2
1,1,7,7,0.25,879.32,1,14,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.25,0.25,28.2,1.3003,2
1,1,8,8,0,.,.,15,1,275600,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.56,1.3003,2
1,1,8,8,0.25,525.94,1,16,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.25,0.25,27.56,1.3003,2
1,1,9,9,0,.,.,17,1,282400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.24,1.3003,2
1,1,9,9,0.25,546.45,1,18,0,NA,.,0,0.25,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.25,0.25,28.24,1.3003,2
1,1,10,10,0,.,.,19,1,283600,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.36,1.3003,2
1,1,10,10,0.5,1256.22,1,20,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.5,0.5,28.36,1.3003,2
1,1,11,11,0,.,.,21,1,303800,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,30.38,1.6399,2
1,1,11,11,0.5,356.47,1,22,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.5,0.5,30.38,1.6399,2
1,1,12,12,0,.,.,23,1,276100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.61,1.3386,2
1,1,12,12,0.5,49.88,1,24,0,NA,.,0,0.5,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.5,0.5,27.61,1.3386,2
1,1,13,13,0,.,.,25,1,288900,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.89,1.5619,2
1,1,13,13,0.75,231.89,1,26,0,NA,.,0,0.75,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.75,0.75,28.89,1.5619,2
1,1,14,14,0,.,.,27,1,279100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.91,1.5619,2
1,1,14,14,0.75,21.36,1,28,0,NA,.,0,0.75,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.75,0.75,27.91,1.5619,2
1,1,15,15,0,.,.,29,1,290300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,29.03,1.5619,2
1,1,15,15,0.75,16.51,1,30,0,NA,.,0,0.75,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,0.75,0.75,29.03,1.5619,2
1,1,16,16,0,.,.,31,1,277400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.74,1.5619,2
1,1,16,16,1,307.94,1,32,0,NA,.,0,1,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,1,1,27.74,1.5619,2
1,1,17,17,0,.,.,33,1,280000,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28,1.1481,2
1,1,17,17,1,551.86,1,34,0,NA,.,0,1,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,1,1,28,1.1481,2
1,1,18,18,0,.,.,35,1,290300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,29.03,1.4717,2
1,1,18,18,1,6.69,1,36,0,NA,.,0,1,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,1,1,29.03,1.4717,2
1,1,19,19,0,.,.,37,1,281000,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.1,1.464,2
1,1,19,19,2,0.9,1,38,0,NA,.,0,2,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,2,2,28.1,1.464,2
1,1,20,20,0,.,.,39,1,276700,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.67,1.4273,2
1,1,20,20,2,4.8,1,40,0,NA,.,0,2,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,2,2,27.67,1.4273,2
1,1,21,21,0,.,.,41,1,265200,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,26.52,1.2356,2
1,1,21,21,2,3.6,1,42,0,NA,.,0,2,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,2,2,26.52,1.2356,2
1,1,25,25,0,.,.,43,1,270300,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.03,1.5917,2
1,1,25,25,4,1.02,1,44,0,NA,.,0,4,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,4,4,27.03,1.5917,2
1,1,26,26,0,.,.,45,1,282900,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.29,1.5331,2
1,1,26,26,4,0.03,1,46,0,NA,.,0,4,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,4,4,28.29,1.5331,2
1,1,27,27,0,.,.,47,1,278400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,27.84,1.5836,2
1,1,27,27,4,1.2,1,48,0,NA,.,0,4,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,4,4,27.84,1.5836,2
1,1,29,29,0,.,.,51,1,265100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,26.51,1.7962,2
1,1,29,29,6,0.6,1,52,0,NA,.,0,6,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,6,6,26.51,1.7962,2
1,1,30,30,0,.,.,53,1,289400,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.94,1.7962,2
1,1,30,30,6,3.05,1,54,0,NA,.,0,6,HOURS,OUTPUT1,0,0,,QD,1,10,1,0,0,NA,6,6,28.94,1.7962,2
1,1,31,31,0,.,.,55,1,282100,1,0,0,HOURS,INPUT1,0,0,,QD,1,10,IV,1,0,NA,0,0,28.21,1.7962,2
