Iteration,Obj,KA,Q,V2,V3,CL,FP,Tlag1,error_ADD1,error_PROP1
1,1157371930932507392,4.42895432031894,6.18998237644779,-0.179381319057341,-1.12088289567906,1.66452766959752,-8.09681608546342,-10.7954735302857,-11.4271937200501,-3.04127396104903
2,594214561691968640,4.39274158558014,6.19089955746444,-0.46119191837406,-1.23258350808606,1.42524346102054,-7.46468641486005,-10.7962059793591,-11.0938603867179,-3.62337107957743
3,305079927359511872,4.32309387495031,6.19267946902252,-0.968188086933193,-1.47042704981931,0.988191352444216,-6.28418528941518,-10.7962260751411,-10.760527053387,-5.0325633300316
4,156633256566180576,4.20209126731073,6.19400955914094,-1.71314481113852,-1.92659933473022,0.236950086475198,-4.33269324765884,-10.7970294002833,-10.4271937200686,-8.30952938725275
5,80365365173553808,4.61300197964391,6.18793415686199,1.09838252984149,0.356664583166001,1.80301592427434,-10.9874710572744,-10.7970160834346,-10.0938603865973,-6.34397746651813
6,38772048890311224,4.54258712528274,6.2019485744593,-1.64570473635045,-0.978268378984187,-0.774435697422067,-5.87244571550581,-8.70656957581175,-9.76175256537739,-13.6512191548164
7,291922311778208384,4.60614391431402,6.19557351303846,0.965588447216094,4.12449674075414,-0.568839434945292,-13.1791264398663,-9.19793092763233,-10.7900474627193,-17.1740272010421
8,103627823838327,4.54803999440642,6.20094695819677,-0.979845594376831,0.321649237160361,-2.24939586463867,-6.49932405005637,-8.59554475376171,-10.4835312904984,-14.6587111284407
9,329300288472151872,4.54895514998402,6.20100610868059,-1.47406972299577,-1.49463687670632,1.92374727097305,-7.9367483097296,-8.62110029600348,-10.7987212497936,-13.2892088489693
10,109723387074616,4.54823779487237,6.20083522477096,-0.999360989605627,0.250157768789026,-1.22165630141713,-6.8100069721672,-8.63315891881728,-10.5128678797109,-14.0247078800987
11,61607352629943.5,4.54807850869365,6.20092068653258,-0.968895773325345,0.36194001920105,-2.15301825826786,-6.55981801088337,-8.60077868436072,-10.4501061947528,-14.3726688085534
