Iteration,Obj,KA,Q,V2,V3,CL,FP,Tlag1,error_ADD1,error_PROP1
1,511.830333701478,-5.61073947950826,4.05594073076583,-3.46177077270161,6.11390170373299,-1.50563517709859,-3.71698180308118,-6.05412871731127,-16.1172207629644,5.03731939115776
2,465.40252749121,-5.66633257813269,3.58009804942913,-3.45716891089361,6.61067545239554,-1.49794006553562,-3.80094478530968,-6.04908012664444,-16.8329536712779,4.97197880315802
3,419.561804989058,-5.88743999773964,3.15083181535515,-3.44490279178254,6.6963215954404,-1.49140654024231,-4.09736761954291,-6.0355483935676,-18.733178693304,5.21776142365802
4,346.634118284725,-6.20921299130093,2.55389627994663,-3.4197173987548,6.85652288943756,-1.47676998385271,-4.56282796887439,-6.0079070238571,-22.6357056192974,5.47559742951579
5,205.324943997375,-6.47590609522373,1.93857568344713,-3.36830476405722,6.97369410924695,-1.44790163909681,-5.07159813396083,-5.95186601008938,-30.587847486083,5.66031655611504
6,30.8797974366289,-6.53722632377998,1.57598630993864,-3.30362985989947,6.956536134238,-1.41533050912955,-5.38717538986524,-5.88165513180227,-40.5755171467707,5.69443508382972
7,-141.483234207768,-6.51456664751184,1.33131087284455,-3.23660760201029,6.89122106714195,-1.38574326267429,-5.60941009225663,-5.81139279956109,-50.5692574602158,5.66588047034639
8,-311.830583937584,-6.44779375410518,1.14104009331633,-3.17188810928878,6.79994356708416,-1.35919037679271,-5.79186499294675,-5.74322875547132,-60.5644908930446,5.60684191425026
9,-480.177593547686,-6.34898118942212,0.981313812784845,-3.10741288062348,6.68827905584557,-1.33633943584094,-5.95463379237958,-5.67408224754108,-70.5599818460716,5.52646113428869
10,-646.532680270066,-6.22081059576946,0.841543381393229,-3.04309587819752,6.55797889740772,-1.31793651067909,-6.10792975367399,-5.60375334760122,-80.5551953151366,5.42723946441777
11,-810.902795484437,-6.06123984189619,0.715988382020707,-2.97896959564867,6.40846762452078,-1.30497141277734,-6.25896951368086,-5.53540377086874,-90.5497216127791,5.30850182229133
12,-973.299051395785,-5.86327152527354,0.602815472530353,-2.91738683610944,6.23757060122231,-1.29848734180276,-6.41393558873317,-5.46499059289976,-100.543019943004,5.16716483362619
13,-1133.73966326985,-5.61302047321172,0.50362159327271,-2.86393660890908,6.04117666532722,-1.29943766530967,-6.58006955714199,-5.39454641933977,-110.534249869675,4.99725824388418
14,-1292.27066863421,-5.2829651697698,0.42698220433898,-2.83356209410641,5.8127623385599,-1.3077524326705,-6.76775834910522,-5.32588922512153,-120.521663250737,4.78831302869339
15,-1449.02954852501,-4.82044455686627,0.381241983426679,-2.83653645663353,5.53675284684474,-1.32463028094113,-7.00310892591159,-5.25791047392981,-130.500408142127,4.51971120658281
