Iteration,Obj,KA,Q,V2,V3,CL,FP,Tlag1,error_ADD1,error_PROP1
1,10794005.7417608,2.21739086499185,-7.52066512347525,0.934469151200543,-2.95734138196071,-6.25391367154827,-1.59393581363513,-6.66071094472585,-8.50127223452695,-5.90952812439367
2,3853487.81585283,2.19370461851493,-7.52024044846606,1.55207670556319,-2.95732318824605,-6.25227507236818,-2.12781388241072,-6.66079197404806,-8.50127462244897,-5.33249155194451
3,1570277.81998667,2.16467317126819,-7.520150211704,2.03755013921154,-2.95731823077076,-6.25191886225561,-2.75708078867133,-6.66071764696483,-8.50128286859833,-4.72627728262043
4,694273.136255727,2.13114236846946,-7.52017172760879,2.39446929720317,-2.95731771830429,-6.25199354963494,-3.46571118498504,-6.66060559300969,-8.50131370054181,-4.11855420276175
5,336368.422588664,2.05576675221612,-7.52025717653398,3.02290622312408,-2.95731730950824,-6.25231149731139,-5.12833166254303,-6.66037368911022,-8.50155919044618,-3.20472792179846
6,171893.298553174,2.42921536274715,-7.42185297634494,2.78516788512104,-2.94247652445989,-5.9345868586336,-5.2650015716369,-6.64559870987981,-10.4162610723598,-3.11429645375467
7,88623.0295861217,3.00892966910885,-7.16463219131434,2.66193511789732,-2.90722121641513,-4.828272568969,-5.36728463749728,-6.61620776880125,-14.1980062699411,-2.90359814250282
8,81710.7348130903,5.39830172427,-6.74054541690241,2.56220565094516,-2.84230266666483,-0.479597418857321,-5.45912733386779,-6.56952490695014,-20.4519605141487,-2.651890678282
9,45769.7238993068,4.56484177402538,-7.09626078902677,2.57758421059714,-2.8968005642873,-4.12709264924604,-5.43190030387903,-6.60864333654834,-15.2016719448999,-2.65060197120501
10,28902.4680907205,4.55536943413801,-6.94539131048237,2.49777625339419,-2.86988564990443,-1.34468238721097,-5.48695768276967,-6.58975850735644,-18.0558741200533,-2.37077327905113
11,4.09476835993116e+22,4.55315354930277,-6.91382649591652,1.19654626789953,-2.86312893917446,6.39845043528355,-6.76372477053459,-6.69543410216822,-18.8107817261593,-1.99867100271506
12,104091.722977544,4.5548294570991,-6.93763445413328,2.10602157752523,-2.86821629729103,0.553876735796458,-5.84334054583448,-6.6131580674284,-18.2429191525989,-2.08900004587897
13,15509.0827736747,4.55526491539677,-6.94382055461772,2.33948499443645,-2.86953788182317,-0.964811754022117,-5.60476176011135,-6.59170462779625,-18.0954077600892,-2.11544000427091
14,13313.5770258578,4.55511794304941,-6.94126102635403,1.98596596628517,-2.86887361027243,-0.136503182442844,-5.92702395921086,-6.59673499239064,-18.177341623861,-1.8355635822199
15,7829.02118774685,4.55295776531746,-6.93424128071447,1.52057967900862,-2.86382426461655,-0.197027944901676,-6.2715602030796,-6.48574104007163,-18.9612957263765,-1.65099933618061
16,4005.47032471646,4.54663230753465,-6.91881559165194,1.33268102930494,-2.85009994812099,-0.334249489772374,-6.37561340334267,-6.39038112787103,-20.9337545182794,-1.46424671105101
17,2020.99855339442,4.53365501099534,-6.88925714228545,1.18940699926207,-2.82151535825014,-0.42801057695818,-6.47744830814784,-6.28871111885105,-24.9205594675225,-1.23294237169393
18,919.019011334927,4.50743683767904,-6.82631644395796,1.0773775534704,-2.76583379236089,-0.506726381659307,-6.57561636463406,-6.1562391693195,-32.9137518114959,-0.998005868544084
19,270.652284360859,4.47464189409137,-6.74130507461422,0.979535481176441,-2.69912621992443,-0.591061390491509,-6.68542546613978,-6.00347156412348,-42.9081366138735,-0.784065222837074
20,-129.526052641064,4.4419283209208,-6.65049798973905,0.876255933719478,-2.63514804203987,-0.700816773762668,-6.8238940503371,-5.83872389012072,-52.9025418011001,-0.613787367544415
21,-405.419071375284,4.40930560118999,-6.55561593248064,0.750908483652996,-2.57314966901762,-0.843742628973544,-6.99405037476898,-5.65748297113957,-62.8962795813589,-0.49806763610058
22,-619.510177041623,4.37673072830251,-6.4592936282566,0.603367596263396,-2.51193792959992,-1.00411746767515,-7.17792253655697,-5.46728561149743,-72.8894250032547,-0.423975292554424
23,-803.076075095269,4.34413335286405,-6.36366969010403,0.459526757439551,-2.45050636461274,-1.15137962546641,-7.34605467419993,-5.28430640023129,-82.8834158028731,-0.373089313910543
24,-972.200461794025,4.31144033519927,-6.2702783546019,0.353401952591689,-2.38808253034592,-1.2548104973067,-7.46853085841354,-5.12565957672885,-92.879529664394,-0.334795023407996
25,-1135.04880795973,4.27860019968815,-6.18012503973116,0.307033505475719,-2.32411349429282,-1.29553614682029,-7.5261721856945,-5.00246857266565,-102.877705572232,-0.305219563551809
