Iteration,Obj,KA,Q,V2,V3,CL,FP,Tlag1,error_ADD1,error_PROP1
1,459020622.752506,-2.2342027199052,7.33942231736067,-1.16384246607204,3.29876185249761,1.04162146770995,-5.88356037017878,-0.875995654408284,-8.50471622322273,-3.37172493147884
2,233705858.828762,-2.11956155692175,7.19110211574795,-1.17584422867736,2.55386225809017,0.976726573249415,-5.81750321803949,-0.782633262517867,-8.18461480519943,-3.91031821473954
3,118661287.271984,-1.98369258391204,7.11748878820632,-1.21323838346678,1.14260152551438,0.563400587200062,-5.68648445255687,-0.419300361881506,-7.86680273767725,-5.16013657251404
4,236389178033230,0.494914003154355,6.88726048164764,-1.31590980208357,0.519497648588158,-0.738887167879608,-6.86206307487358,1.33612430470694,-7.17910827793487,-6.82516706096789
5,56757148.4768743,-1.69227403479199,7.10566022147187,-1.26700159174006,0.599182058885825,0.33372192578359,-5.53973105865389,-0.0655761963049191,-7.63715603251045,-5.76395183757791
6,17135043912.5057,-2.33899216622544,7.11440997925985,-1.3751796361961,-0.117517315345071,1.87457329668009,-5.42029411803654,-0.625706515523532,-7.92377794211026,-5.24248046315711
7,29684517.8692232,-1.66335859997332,7.10499341789216,-1.31037378267152,0.320173887204206,0.720487268937901,-5.53165012701112,-0.113217451795397,-7.63603590843081,-5.63161488065851
8,14830298.9890727,-1.50849854718703,6.34938066511014,-1.56287371506982,0.539877455852299,0.856334122768997,-5.16119731540746,0.238445826646453,-7.54961873337372,-5.71046419950807
9,1117994809727382,-1.43488348506256,4.74339875186113,-1.87299920032923,1.19963400947094,1.3764753909515,-4.59469043284483,0.446769646338868,-7.97985955681134,-5.45755428924098
10,7424194.77463748,-1.42493181505597,6.11272305009582,-1.60134347226664,0.696305171020863,0.953301982546784,-5.02060532747106,0.0937517605137448,-7.76467006686718,-5.45608672304243
11,1606405650220884,-1.37309570105346,5.36588114224085,-1.72462494193918,0.954532816572938,1.17247745603916,-4.76334190127527,0.252186940386463,-8.16109077661879,-5.20872687824608
12,3781720.21734835,-1.36442558917285,6.09691980991276,-1.60415908796944,0.699710294003707,0.949318010030274,-4.98007762343591,0.0688088050512405,-7.77128868497875,-5.21892558012394
13,1924772.49476096,-1.32003770238096,5.75715111596314,-1.65874376014134,0.828618648257109,1.05701483264527,-4.85692218205805,0.109016279370708,-7.83850293355558,-4.93592410428305
14,920731235669224,-1.29423829948758,4.94035423838857,-1.77060543956582,1.10100001966298,1.30450185643958,-4.60421369089951,0.288723690481872,-7.88279764170564,-4.64248855505014
15,1005663.31527333,-1.27634843601456,5.75086894998986,-1.66056344917764,0.819173108832695,1.04679854425972,-4.82313768799019,0.102085214255423,-7.83841299448535,-4.69268463262728
16,512771.698460336,-1.24794087561518,5.427318774401,-1.70381567795396,0.94369644602623,1.15763980025359,-4.72133483367455,0.136171405216677,-7.83830152486567,-4.37125036008661
17,859335881817940,-1.23989708889976,4.61028131580763,-1.799234973841,1.20599678122454,1.40734627582953,-4.48468788292387,0.323419690816352,-7.84829348444633,-4.05350533378691
18,273970.282496959,-1.21371821789498,5.42031146176131,-1.70573626381013,0.93038246842874,1.14513109697422,-4.68902423255878,0.138959876509562,-7.83828863286164,-4.12652492561343
19,139651.729936898,-1.1968821061474,5.1081916508875,-1.7413509204996,1.04801501570754,1.25506770502795,-4.60101915720566,0.175745985039424,-7.84271455812683,-3.7859545344598
20,893555314510622,-1.20456359646185,4.29142731682665,-1.82390864663477,1.30006467915653,1.50665434987814,-4.37843254755778,0.373253689409907,-7.86781767448964,-3.45427380277238
21,76000.8028040164,-1.16950087508427,5.09921436861759,-1.74333196537587,1.03331339362383,1.24153780253498,-4.56968895565806,0.184689150218458,-7.84287207274792,-3.54058752454798
22,38718.1085223475,-1.16220210220352,4.79337547812071,-1.77355883275346,1.1449074683841,1.35089050904897,-4.4917064599303,0.227051524784524,-7.85532325212446,-3.18979768257334
23,978212056972644,-1.18631960078332,3.97874885930693,-1.84520460004417,1.38615047366608,1.60592534576727,-4.2824264201609,0.43958522305946,-7.9130767911856,-2.850499069787
24,21286.6185556147,-1.1401584296204,4.78136007594538,-1.7756083958421,1.1300985344674,1.33738858265961,-4.46125866358031,0.24063298124527,-7.85586455926653,-2.94413107498249
25,881868883828768,-1.11996768736765,4.68245658651912,-1.76811301907627,1.3620708924157,1.54539181856659,-4.2765360926351,0.259794057954736,-7.86123524792033,-2.6152552433075
26,872638952986716,-1.10418766757082,4.77704802665965,-1.77683205403362,1.11331445607954,1.31387113218249,-4.41131711093793,0.25360631787618,-7.85597450425225,-2.84014184874598
27,872464157218781,-1.12922319716782,4.78043267070603,-1.77587809723764,1.12506176766748,1.32850991636721,-4.44731895008737,0.25423422765317,-7.85587434067362,-2.92482975313227
