Iteration,Obj,KA,Q,V2,V3,CL,FP,Tlag1,error_ADD1,error_PROP1
1,667.072451985462,1.6094379124341,2.30258509299405,2.30258509299405,2.30258509299405,1.38629436111989,-3.91202300542815,0.2,-6.90775527898214,0.405465108108164
2,166111408538797,1.57996874145247,2.34196471153081,2.27284660956743,2.42601695959529,1.84099510753059,-4.6164464543858,0.500849776230741,-7.0040562453967,-0.0172772288311563
3,137262587742236,1.60209666450627,2.3111738567788,2.27506258865479,2.33284541919088,1.49701185422213,-4.08501528133164,0.303725255854563,-6.93116144941783,0.320566961433218
4,653.228023156517,1.60767203449933,2.3042829094475,2.28981839457581,2.30970532084011,1.41212145010382,-3.9528259532709,0.233724114180015,-6.91318168638573,0.391758102290942
5,135425362466338,1.60420819683662,2.30979692647355,2.27094293348841,2.32421439568487,1.46756469546025,-4.03699544479815,0.290479646547709,-6.92442388336629,0.352902382727516
6,133116761673013,1.60683395881051,2.30555872745178,2.28305210760623,2.31316051405408,1.42526153113801,-3.97288130470468,0.250591553116439,-6.91582687954231,0.384678199451669
7,651.503127806898,1.6074660485498,2.30459108660522,2.2879512809096,2.3105493944606,1.41532553496059,-3.95772639511483,0.238160732067512,-6.91382482540917,0.390234460903657
8,648.065655144165,1.60705307772741,2.30524833120861,2.28437918383853,2.31225208831944,1.42183601626148,-3.96762854193876,0.246801899667951,-6.91512650228659,0.386906391360505
9,133637950704137,1.60622605202175,2.30670959252199,2.27783609360544,2.31570133094987,1.43521265110232,-3.98776431364805,0.263198243823878,-6.91778069580175,0.379240529867066
10,133102503992751,1.60684941740398,2.30560552269136,2.28257178954386,2.31309650673369,1.42510594183087,-3.97255861976846,0.251118984847671,-6.91577332338724,0.385223330493735
11,647.636819246261,1.60700239525459,2.30533703745438,2.28391581476731,2.31246188308419,1.42264808842607,-3.96885345542302,0.247895591900599,-6.91528699748983,0.386501744155364
12,133058760504995,1.60690096907973,2.30551688105091,2.2829994466859,2.3128823748121,1.42427868700435,-3.9713097488991,0.250068118408955,-6.91560897382183,0.385674795082927
13,647.42248829442,1.60697709799465,2.30538185041805,2.2836838156018,2.3125666726188,1.42305436108881,-3.96946559128041,0.248442357648044,-6.91536718380581,0.386299083622128
14,646.993998810798,1.60692648752222,2.30547208425486,2.28322242435419,2.31277648006164,1.42386853260954,-3.9706914985154,0.249532158797919,-6.91552780574916,0.385889324076764
15,133122923637410,1.60682520943021,2.30565494913936,2.28230998069812,2.31319697822648,1.42550326583349,-3.97314969671557,0.251696913340467,-6.9158500239672,0.385052280351445
16,133058516155880,1.60690122632481,2.30551765810358,2.28299141306736,2.31288127514369,1.42427585345056,-3.97130413132915,0.250076980252466,-6.91560805562096,0.385684113703033
17,646.940459168316,1.6069201759518,2.30548346864402,2.28316448878613,2.3128026578363,1.42397027604061,-3.97084453456457,0.249668592595366,-6.9155478488294,0.385838277682735
18,742.336618223302,1.6069075517854,2.3055062751556,2.28304878104017,2.31285502764419,1.42417386463369,-3.97115070912616,0.249941226370318,-6.91558795061421,0.385735907337859
19,646.91368552592,1.60691702084468,2.30548916800363,2.28313551611088,2.31281574502751,1.42402115144499,-3.97092104759477,0.249736808202786,-6.91555786941826,0.385812749238817
20,646.860159391246,1.60691071038678,2.30550057615846,2.28307761163329,2.31284192298004,1.4241229277121,-3.9710740993042,0.249873180934607,-6.91557791450766,0.385761622912172
21,133061167936912,1.60689808853664,2.30552343011183,2.28296196612521,2.31289429304222,1.42432658162276,-3.971380304648,0.250145693309818,-6.9156180202391,0.385659093084172
22,743.059818597821,1.60690755585683,2.30550628738945,2.28304865453036,2.31285501024256,1.42417381947448,-3.97115062007091,0.249941366190214,-6.91558793608925,0.385736054546389
23,646.853460370812,1.60690992181274,2.30550200382478,2.28307036949685,2.31284519446656,1.42413564929229,-3.97109322758066,0.249890230823765,-6.91558041959917,0.385755234832362
24,683.285422190388,1.60690834464854,2.30550485975006,2.28305588776439,2.31285173767061,1.42416109407218,-3.97113148578537,0.24992432685542,-6.91558543003279,0.385742454316833
25,646.850115355002,1.60690952753631,2.30550271777074,2.28306674834845,2.31284683018527,1.42414201014707,-3.97110279165289,0.249898755725601,-6.91558167213159,0.385752040706568
26,666.606889174896,1.60690873897731,2.30550414580995,2.28305950669053,2.31285010167854,1.42415473225468,-3.97112192019805,0.249915804615083,-6.9155841772576,0.385745651369765
27,649.828519297541,1.60690933040021,2.30550307477171,2.28306493775514,2.31284764803801,1.42414519058891,-3.97110757366943,0.249903018171465,-6.91558229839409,0.385750443623161
28,646.849704395596,1.60690947825251,2.30550280702043,2.28306629568895,2.31284703464717,1.42414280525221,-3.97110398714954,0.249899821351036,-6.91558182869602,0.385751641451392
29,648.742211757617,1.60690937968507,2.30550298552211,2.28306539037991,2.31284744357184,1.42414439546873,-3.971106378149,0.24990195258774,-6.91558214182586,0.385750842924099
30,647.183840567049,1.60690945361071,2.30550285164571,2.28306606935889,2.31284713687802,1.42414320280501,-3.97110458489753,0.249900354163704,-6.91558190697819,0.385751441823488
31,646.849650461414,1.60690947209207,2.30550281817674,2.28306623910626,2.31284706020486,1.42414290464033,-3.97110413658642,0.249899954554421,-6.91558184826655,0.385751591544661
32,647.057681064212,1.60690945977117,2.3055028404894,2.28306612594104,2.31284711132026,1.42414310341665,-3.97110443546029,0.249900220960964,-6.9155818874076,0.385751491730935
33,646.869484288745,1.60690946901184,2.30550282375491,2.28306621081491,2.31284707298371,1.42414295433439,-3.97110421130486,0.249900021156111,-6.91558185805181,0.385751566591291
34,646.849643891741,1.60690947132201,2.30550281957128,2.28306623203342,2.31284706339957,1.42414291706384,-3.97110415526603,0.249899971204847,-6.91558185071286,0.385751585306322
35,646.853859544278,1.6069094697819,2.30550282236037,2.28306621788774,2.31284706978899,1.42414294191087,-3.97110419262525,0.249900004505695,-6.91558185560549,0.385751572829641
36,646.84963424893,1.60690947093698,2.30550282026855,2.283066228497,2.31284706499693,1.4241429232756,-3.97110416460583,0.24989997953006,-6.91558185193602,0.385751582187153
37,646.849633240795,1.60690947016693,2.30550282166309,2.28306622142416,2.31284706819164,1.42414293569911,-3.97110418328544,0.249899996180485,-6.91558185438233,0.385751575948813
38,646.849635398552,1.60690947074447,2.30550282061719,2.28306622672879,2.31284706579561,1.42414292638148,-3.97110416927573,0.249899983692666,-6.9155818525476,0.385751580627568
39,646.849633844898,1.60690947088885,2.30550282035571,2.28306622805495,2.3128470651966,1.42414292405207,-3.97110416577331,0.249899980570712,-6.91558185208891,0.385751581797257
40,646.849635846338,1.6069094707926,2.30550282053003,2.28306622717084,2.31284706559594,1.42414292560501,-3.97110416810826,0.249899982652015,-6.9155818523947,0.385751581017464
41,646.849633640279,1.60690947086479,2.30550282039929,2.28306622783392,2.31284706529643,1.4241429244403,-3.97110416635704,0.249899981091038,-6.91558185216536,0.385751581602308
42,646.849633343333,1.60690947081666,2.30550282048645,2.28306622739187,2.3128470654961,1.42414292521677,-3.97110416752452,0.249899982131689,-6.91558185231825,0.385751581212412
43,646.849635688584,1.60690947076853,2.30550282057361,2.28306622694981,2.31284706569577,1.42414292599324,-3.971104168692,0.249899983172341,-6.91558185247115,0.385751580822516
44,646.849635945805,1.60690947080463,2.30550282050824,2.28306622728135,2.31284706554602,1.42414292541089,-3.97110416781639,0.249899982391852,-6.91558185235648,0.385751581114938
45,646.849633316677,1.60690947081365,2.3055028204919,2.28306622736424,2.31284706550858,1.4241429252653,-3.97110416759749,0.24989998219673,-6.91558185232781,0.385751581188044
46,646.849633203477,1.60690947080764,2.30550282050279,2.28306622730898,2.31284706553354,1.42414292536236,-3.97110416774342,0.249899982326811,-6.91558185234692,0.385751581139307
47,646.849635917742,1.60690947079561,2.30550282052458,2.28306622719847,2.31284706558346,1.42414292555648,-3.97110416803529,0.249899982586974,-6.91558185238515,0.385751581041833
48,646.849635945849,1.60690947080463,2.30550282050824,2.28306622728135,2.31284706554602,1.42414292541089,-3.97110416781639,0.249899982391852,-6.91558185235648,0.385751581114938
49,646.849633196387,1.60690947080689,2.30550282050416,2.28306622730208,2.31284706553666,1.42414292537449,-3.97110416776166,0.249899982343071,-6.91558185234931,0.385751581133215
50,646.849633196387,1.60690947080689,2.30550282050416,2.28306622730208,2.31284706553666,1.42414292537449,-3.97110416776166,0.249899982343071,-6.91558185234931,0.385751581133215
