Iteration,Obj,Q,V2,V3,CL,error_ADD1,error_PROP1
1,22733123721.9904,-1.31647998084513,4.04817191979772,7.19623986980673,5.9448882841041,-10.7215360308101,0.402276840228843
2,11635888113.6955,-1.02304509461568,3.84443352690009,7.1152361364392,5.66451307607797,-10.7251911540208,-0.484966876443713
3,5983759627.44556,-0.544533928114779,3.43699938271757,7.01605704002251,5.11518938829542,-10.7394855360511,-2.29969196449539
4,3136805866.50233,0.262807111253744,2.62476368560373,6.83133451445426,4.00824732355172,-10.7577677115931,-5.96421051872491
5,1796625829.63132,-3.28649800840327,-2.39665255120785,7.0054481680845,-0.739419138542353,-11.0728618691767,-7.83981053377208
6,1130994615105512,0.29590430076843,-7.80765995511995,5.46279666055602,5.60871790052549,-11.0742687406969,-3.93996783818841
7,7556172022829.75,-2.38899718613866,-3.71902701643011,6.61647700404492,0.78739898109939,-11.0731968240746,-6.73829076606608
8,1154013912.34887,-3.0604162287949,-2.69104337545683,6.90459434840433,-0.428145967868452,-11.0729256419555,-7.45799436369191
9,582142452.628665,-2.50770342526194,-1.93401338138015,6.65321685473616,0.269680465998641,-11.0749676313275,-7.09226550369879
10,296392514.675201,-1.42024323814974,-0.367954491144011,6.15385947899408,1.71325821292974,-11.0771800724437,-6.56159564519928
11,180835104.719965,0.72627169837599,2.83700457924094,5.13766764542297,4.61740159951957,-11.0813688179686,-5.75289373080201
12,104407787.740952,-2.61215248393132,0.850296336278496,1.04057706365066,2.82616517712836,-19.1074096056219,-6.45709628297977
13,3639281230.59601,3.53935377501586,5.83633998506339,5.08059503489263,7.23058055995664,-19.1074082182065,-5.20102327312518
14,60829849.0686941,-1.10582023954544,2.20443186381017,1.72590447353711,4.0141463891789,-19.1074092671706,-5.94104674708912
15,36247861.2157464,1.94988487545637,4.09239599058663,4.78181277314438,5.60613670379172,-19.1074056469175,-5.46644269242087
16,18087629.7317086,1.69030344070992,3.77475692277529,4.51213289810806,5.26258477731643,-9.13235863970865,-5.59225314411973
17,9195546.61147504,1.87055474011819,3.83753322783338,4.70955291354571,5.27991879080956,-19.126528747553,-5.39012118461846
18,4708296.23884092,2.03088041487347,3.91194655754895,4.87497410156066,5.31503948958665,-9.12652874755226,-5.13974412312516
19,2409521.14295431,2.15894420949998,3.97221205326697,5.01163685054111,5.34379985641691,-19.1207674636183,-4.86468714774882
20,1235350.90440356,2.25839723735934,4.02104605628628,5.116850521443,5.36714496575287,-9.12076746361814,-4.57408689553354
21,633451.771255254,2.34080627118534,4.06188219749673,5.20611932817786,5.38688324034709,-19.1146337300404,-4.27239183179469
22,325066.349351694,2.40904846959448,4.0963961582298,5.28061436699359,5.40376796840083,-9.11463373004036,-3.96300545035988
23,166913.757204441,2.46709190797427,4.12600960667633,5.34496431151236,5.41846907473767,-9.73977568168901,-3.64797096353003
24,85790.4835831784,2.51703155911786,4.15166046035726,5.40106785616581,5.43139513620145,-7.09690086028697,-3.32881271765712
25,44146.0142724009,2.56292824129577,4.17438064656968,5.4550682221414,5.44306191912162,-15.2637627516962,-3.00621496580485
26,22834.9431352139,2.60089057276339,4.19411886859534,5.49836841206622,5.45330942814478,-6.9077554403115,-2.68185617552404
27,11917.3205638392,2.6346692910775,4.21177582572854,5.53695284932027,5.4626246090137,-7.60075826003564,-2.3560649819685
28,6333.47628366976,2.66492208504083,4.22787236069324,5.57095860789429,5.47126999932508,-6.94918741142498,-2.02963194690126
29,3486.90507099262,2.69269470682239,4.24309607623001,5.60098466093263,5.47963516497364,-6.9448218278272,-1.70348962412359
30,2045.20606989756,2.71902363494562,4.2583838085859,5.62697050436008,5.48828861310132,-6.91717757744755,-1.37911934069784
31,1324.31674470806,2.74528637793129,4.27519302255563,5.64820958293309,5.498153151082,-6.9104407602469,-1.05910041528621
32,972.77362236636,2.77339527331275,4.29586633151361,5.66266468805189,5.51073810616876,-6.9085837875955,-0.74817715293841
33,809.555114676202,2.80598081435228,4.32400217218612,5.66591760144713,5.52834952504498,-6.90806176663022,-0.455153690473195
34,740.710288338629,2.84618278567635,4.36403747497262,5.65044941919616,5.553703364548,-6.90790156406512,-0.195797770225289
35,716.579936731832,2.8961141105618,4.41720705854768,5.61030246839931,5.58709113253068,-6.90784873187536,0.00524991045101508
36,710.59370321953,2.95244771631859,4.47081553316455,5.56226321338138,5.61996000353296,-6.90783323649093,0.12422231738895
37,709.812126593066,2.99791894940932,4.501139172427,5.54555043579425,5.63913520627318,-6.90783223696318,0.16971505811435
38,709.7819996102,3.0147060877408,4.50953789094189,5.54922040901522,5.64590622365599,-6.90783430024728,0.181047633904207
39,709.781811968952,3.01690592676709,4.51100243259568,5.55066327004817,5.64721537844447,-6.90783457913853,0.182642080132354
40,709.781811218545,3.01703660883146,4.51112152113071,5.55068775218708,5.64731342519371,-6.90783454945952,0.182726096638487
41,709.781811219446,3.01704669050904,4.51112872118445,5.55069811585852,5.64732141062389,-6.90783455983097,0.182736556957359
42,709.781811218545,3.01703660883146,4.51112152113071,5.55068775218708,5.64731342519371,-6.90783454945952,0.182726096638487
