Iteration,Obj,Q,V2,V3,CL,error_ADD1,error_PROP1
1,180628428.243803,1.49558835218783,1.1048643848136,1.77227765629784,6.03529726901723,-8.1338674843663,-0.137795262731683
2,91125751.6162089,1.69781326036517,0.752393249106435,1.96863119294826,5.61367590584676,-7.80054796480245,-0.850149105738683
3,41095148.4517487,2.07323399537423,0.12200935618072,2.32457151007649,4.82985848076879,-7.46723735496785,-2.46554880578223
4,15175993.5977752,2.79205795205156,-0.8426085738988,2.94602241204598,3.36846600172228,-7.13394927959083,-5.91806299484822
5,288809511408108,-0.3280983591318,-1.82432088247031,4.91029028781498,9.84240060183644,-6.81427073143621,-3.19253668503723
6,3405637229.6393,2.0591947697429,-1.07827467658125,3.40337721851638,4.90755573048971,-6.81870638899297,-5.06364836962729
7,8512947.66362379,2.67162610060179,-0.884184750031278,3.022571553451,3.62408156307188,-6.87125358498889,-5.61218805877422
8,8776424.1748837,2.88060388731371,-1.40721620517974,3.29728741026069,4.04279007953505,-6.54234331752701,-5.04315484901764
9,5935288.84917771,2.66072342343387,-0.895424551284805,3.03844595811008,3.6437273152819,-6.67629418499468,-5.4585401543008
10,3286791.51649662,2.64842871696972,-0.968683242738029,3.07003545860678,3.78842149895752,-6.38187876304344,-5.08993839046182
11,1670222.86419395,3.10947916066693,-0.562623371573583,3.49025238245314,4.11563524003747,-6.04805848534496,-4.61300988831987
12,862363.13391583,4.31012254506689,0.360630987543322,4.51991422206048,4.69973156987402,-5.71436089016431,-4.17331597163639
13,810533.722619141,6.85649995756176,2.49394241685762,6.43672616327599,5.70999166345274,-5.38068138835004,-3.7748094373753
14,444458.458652055,4.84234576836458,0.834147421865264,4.92782748805079,4.94400216333736,-5.38080973626066,-3.77935797999071
15,246055.581288957,6.07122483205644,1.96776403927843,5.78798291238336,5.4090289427826,-5.04730741458606,-3.40864440676658
16,126583.333509046,6.29637552793274,2.26344219941947,5.89956404689894,5.47470040648653,-4.71358687279867,-3.09141237692426
17,64939.2618956538,6.42022076019678,2.47331037365643,5.9634095388489,5.52041775848233,-4.37994897084162,-2.77066125116414
18,33390.8182533502,6.47297725879683,2.61178504286372,6.00081708551429,5.55578951764623,-4.04638685177828,-2.44613578496371
19,17305.7934424026,6.47830859393568,2.69192985992258,6.02001563002661,5.58223639473473,-3.71287899242287,-2.11964227621179
20,9110.90006750175,6.45853196853494,2.73589720649063,6.02777085779533,5.60180220922005,-3.37942208471518,-1.79288112486043
21,4940.03020675575,6.42715054749217,2.76069550695003,6.02892072952057,5.6168653864115,-3.04603831085167,-1.46717938353098
22,2824.31638031169,6.39268087199914,2.77851927266654,6.0273360553985,5.62976382156504,-2.71278400386332,-1.14443560652159
23,1759.198251055,6.36318014634257,2.80107049688821,6.0273225765658,5.64312077742582,-2.37977437656196,-0.828305847874444
24,1230.88097454712,6.35022112592071,2.84419353737161,6.03524431202955,5.66047941309298,-2.04723498847762,-0.525987461363446
25,975.661964729925,6.37203095933724,2.93204925218154,6.0606971567854,5.68659148362284,-1.71559859289159,-0.251164890483204
26,857.205536260105,6.44577993851127,3.09073462139719,6.1115098022297,5.72447306423672,-1.38567091706243,-0.0270840938388973
27,804.370664670682,6.54168566802798,3.2987082756892,6.17023749174857,5.76457904175779,-1.05885193270482,0.119772816818366
28,780.946241520081,6.57793329483883,3.45711196840799,6.19625596952719,5.78845718074344,-0.737238361280166,0.186833799699391
29,770.155942506176,6.56500077694094,3.53128079826027,6.19131605512416,5.7968351778964,-0.422527362452162,0.201295557073796
30,764.488496626659,6.55039733569994,3.5528988935778,6.17500366856858,5.80369477725678,-0.107113337354756,0.19687171094648
31,758.550340656651,6.53414329416714,3.55857624607712,6.14375186799791,5.83547922366959,0.291349873335257,0.197226179801986
32,1191.24731496979,6.1576351769027,3.74982663780009,5.25160291975274,7.18391985003669,3.91559733468273,0.465933131809568
33,725.774137086449,6.45458064879874,3.60447258077104,5.85385730488082,6.20547917547573,1.16888306598853,0.220888880069057
