TABLE NO.  2
 ID          CL          V2          V3          Q           KA          F1          FF          FA          D2          ALAG2       DOSE
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  1.0000E+00  4.7233E+00  1.5198E+01  1.4842E+00  2.3535E-01  4.1983E-01  7.6943E-03  1.4306E-02  5.3785E-01  7.3177E+00  4.6195E+00  1.2500E+01
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  3.0000E+00  4.7233E+00  3.0719E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  4.0000E+00  4.7233E+00  2.5458E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
  5.0000E+00  4.7233E+00  2.6160E+00  1.4842E+00  2.3535E-01  4.1983E-01  1.0000E+00  2.5776E-02  5.3785E-01  7.3177E+00  0.0000E+00  2.5000E+00
