TABLE NO.  2
 ID          CL          V2          V3          Q           KA          F1          FF          FA          D2          ALAG2       DOSE
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  1.0000E+00  2.9252E+00  1.0006E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.0060E-02  5.0568E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.2500E+01
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  3.0000E+00  2.9252E+00  6.2154E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  4.0000E+00  2.9252E+00  5.7598E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  5.0000E+00  2.9252E+00  5.7025E+00  8.6963E+01  1.0000E+01  3.5853E+41  1.0000E+00  1.0000E-03  3.9670E+01  5.0000E-02  0.0000E+00  2.5000E+00
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
  6.0000E+00  2.9252E+00  1.0001E-02  8.6963E+01  1.0000E+01  3.5853E+41  2.8506E-02  7.1858E-04  3.9670E+01  5.0000E-02  4.2550E+19  1.0000E+01
