"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV"
7,648.5,.,3.653,0,2,.,.,3,1,2,1000,1,1,0.5,0,0
7,649,.,2.63,0,2,.,.,3,1,2,1000,1,1,1,0,0
7,650,.,5.29,0,2,.,.,3,1,2,1000,1,1,2,0,0
7,652,.,2.44,0,2,.,.,3,1,2,1000,1,1,4,0,0
7,656,.,6.416,0,2,.,.,3,1,2,1000,1,1,8,0,0
7,672,.,1.683,0,2,.,.,3,1,2,1000,1,1,24,0,0
8,0,1e+06,.,1,1,27,24,3,1,2,1000,1,1,0,0,0
8,0.5,.,8.468,0,2,.,.,3,1,1,1000,1,1,0.5,0,0
8,1,.,5.902,0,2,.,.,3,1,1,1000,1,1,1,0,0
8,2,.,3.807,0,2,.,.,3,1,1,1000,1,1,2,0,0
8,4,.,3.194,0,2,.,.,3,1,1,1000,1,1,4,0,0
8,8,.,3.757,0,2,.,.,3,1,1,1000,1,1,8,0,0
8,24,.,.,1,2,.,.,3,1,1,1000,1,1,24,1,0
8,648.5,.,7.66,0,2,.,.,3,1,2,1000,1,1,0.5,0,0
8,649,.,3.757,0,2,.,.,3,1,2,1000,1,1,1,0,0
8,650,.,3.534,0,2,.,.,3,1,2,1000,1,1,2,0,0
8,652,.,2.411,0,2,.,.,3,1,2,1000,1,1,4,0,0
8,656,.,5.937,0,2,.,.,3,1,2,1000,1,1,8,0,0
8,672,.,2.269,0,2,.,.,3,1,2,1000,1,1,24,0,0
9,0,1e+06,.,1,1,27,24,3,1,2,1000,1,1,0,0,0
9,0.5,.,8.495,0,2,.,.,3,1,1,1000,1,1,0.5,0,0
9,1,.,8.51,0,2,.,.,3,1,1,1000,1,1,1,0,0
9,2,.,7.183,0,2,.,.,3,1,1,1000,1,1,2,0,0
9,4,.,3.305,0,2,.,.,3,1,1,1000,1,1,4,0,0
9,8,.,4.946,0,2,.,.,3,1,1,1000,1,1,8,0,0
9,24,.,1.309,0,2,.,.,3,1,1,1000,1,1,24,0,0
9,648.5,.,4.486,0,2,.,.,3,1,2,1000,1,1,0.5,0,0
9,649,.,5.109,0,2,.,.,3,1,2,1000,1,1,1,0,0
9,650,.,6.166,0,2,.,.,3,1,2,1000,1,1,2,0,0
9,652,.,2.033,0,2,.,.,3,1,2,1000,1,1,4,0,0
9,656,.,3.287,0,2,.,.,3,1,2,1000,1,1,8,0,0
9,672,.,4.764,0,2,.,.,3,1,2,1000,1,1,24,0,0
10,0,1e+06,.,1,1,27,24,3,1,2,1000,1,1,0,0,0
10,0.5,.,5.665,0,2,.,.,3,1,1,1000,1,1,0.5,0,0
10,1,.,6.575,0,2,.,.,3,1,1,1000,1,1,1,0,0
10,2,.,11.52,0,2,.,.,3,1,1,1000,1,1,2,0,0
10,4,.,4.25,0,2,.,.,3,1,1,1000,1,1,4,0,0
10,8,.,5.17,0,2,.,.,3,1,1,1000,1,1,8,0,0
10,24,.,5.219,0,2,.,.,3,1,1,1000,1,1,24,0,0
10,648.5,.,8.146,0,2,.,.,3,1,2,1000,1,1,0.5,0,0
10,649,.,6.761,0,2,.,.,3,1,2,1000,1,1,1,0,0
10,650,.,8.108,0,2,.,.,3,1,2,1000,1,1,2,0,0
10,652,.,3.442,0,2,.,.,3,1,2,1000,1,1,4,0,0
10,656,.,7.662,0,2,.,.,3,1,2,1000,1,1,8,0,0
10,672,.,1.372,0,2,.,.,3,1,2,1000,1,1,24,0,0
11,0,1e+06,.,1,1,27,24,3,1,2,1000,1,1,0,0,0
11,0.5,.,9.698,0,2,.,.,3,1,1,1000,1,1,0.5,0,0
11,1,.,5.936,0,2,.,.,3,1,1,1000,1,1,1,0,0
11,2,.,1.954,0,2,.,.,3,1,1,1000,1,1,2,0,0
11,4,.,1.867,0,2,.,.,3,1,1,1000,1,1,4,0,0
11,8,.,1.747,0,2,.,.,3,1,1,1000,1,1,8,0,0
11,24,.,.,1,2,.,.,3,1,1,1000,1,1,24,1,0
11,648.5,.,8.171,0,2,.,.,3,1,2,1000,1,1,0.5,0,0
11,649,.,6.522,0,2,.,.,3,1,2,1000,1,1,1,0,0
11,650,.,7.504,0,2,.,.,3,1,2,1000,1,1,2,0,0
11,652,.,5.988,0,2,.,.,3,1,2,1000,1,1,4,0,0
11,656,.,5.585,0,2,.,.,3,1,2,1000,1,1,8,0,0
11,672,.,1.25,0,2,.,.,3,1,2,1000,1,1,24,0,0
12,0,1e+05,.,1,1,27,24,3,2,2,100,1,1,0,0,0
12,0.5,.,2.324,0,2,.,.,3,2,1,100,1,1,0.5,0,0
12,1,.,1.796,0,2,.,.,3,2,1,100,1,1,1,0,0
12,2,.,1.833,0,2,.,.,3,2,1,100,1,1,2,0,0
12,4,.,.,1,2,.,.,3,2,1,100,1,1,4,1,0
12,8,.,.,1,2,.,.,3,2,1,100,1,1,8,1,0
12,24,.,.,1,2,.,.,3,2,1,100,1,1,24,1,0
12,648.5,.,3.078,0,2,.,.,3,2,2,100,1,1,0.5,0,0
12,649,.,2.11,0,2,.,.,3,2,2,100,1,1,1,0,0
12,650,.,1.646,0,2,.,.,3,2,2,100,1,1,2,0,0
12,652,.,.,1,2,.,.,3,2,2,100,1,1,4,1,0
12,656,.,.,1,2,.,.,3,2,2,100,1,1,8,1,0
12,672,.,.,1,2,.,.,3,2,2,100,1,1,24,1,0
13,0,1e+05,.,1,1,27,24,3,2,2,100,1,1,0,0,0
13,0.5,.,3.484,0,2,.,.,3,2,1,100,1,1,0.5,0,0
13,1,.,2.983,0,2,.,.,3,2,1,100,1,1,1,0,0
13,2,.,1.138,0,2,.,.,3,2,1,100,1,1,2,0,0
