"","DOSE","SEX","CMAX","AUCLST","TMAX","LAMZHL","CLFO","VZFO","AUCdose","BIO"
"1",10,"M",17.3266666666667,78.47375,1.33333333333333,28.013371888453,33.904286071456,1370.23333711743,7.847375,1.37646360301555
"2",10,"both",17.3266666666667,78.47375,1.33333333333333,28.013371888453,33.904286071456,1370.23333711743,7.847375,1.37646360301555
"3",12.5,"M",11.805,51.2875,6,NA,NA,NA,4.103,0.71968399154785
"4",12.5,"both",11.805,51.2875,6,NA,NA,NA,4.103,0.71968399154785
"5",30,"M",66.4833333333333,340.008958333333,4.75,6.23998458018458,135.765421328452,1212.52048141236,11.3336319444444,1.98796818827979
"6",30,"both",66.4833333333333,340.008958333333,4.75,6.23998458018458,135.765421328452,1212.52048141236,11.3336319444444,1.98796818827979
"7",100,"M",177.033333333333,1155.73083333333,4.33333333333333,4.79975500379695,132.272729317153,915.933458595346,11.5573083333333,2.02720199680296
"8",100,"both",177.033333333333,1155.73083333333,4.33333333333333,4.79975500379695,132.272729317153,915.933458595346,11.5573083333333,2.02720199680296
