Iteration,Obj,Q,V2,V3,CL,error_ADD1,error_PROP1
1,105538698.840113,-0.80996285796868,3.61760182132288,0.281903286716353,5.8542197316082,-9.076702432646,0.551746009868389
2,51242069.4430511,-0.623106718984125,3.27302131649984,0.491527205718537,5.42283747705853,-9.07138160542988,-0.233294058795779
3,23980787.2439011,-0.273909723446563,2.65979375276937,0.858631173645487,4.64619443017086,-9.33584021386079,-1.87467619442045
4,8774201.52792183,0.286609285103734,1.52902532388447,1.43445394303982,3.15063026215441,-9.7074449172897,-5.29532044663875
5,95933675726413328,-2.22125450306386,2.34462441039549,1.65337218084445,9.86266271773763,-9.71710310931229,-1.83901907409198
6,2146730329.63738,-0.263484134073413,1.43510652671946,1.54736380555562,4.76911742369622,-9.70979421847637,-4.26754535384796
7,5185757.89997556,0.174578101453607,1.45812078527472,1.47930722853899,3.47991077609131,-9.70797817540324,-4.94605865105896
8,2514331.90773843,-0.0241179707758432,2.23547984689888,1.46849224079469,3.88201488271601,-9.71007996034218,-4.50512366019629
9,1359121.88303111,0.943923473633251,3.22429308817385,2.55353555532319,4.69498375092143,-9.7214404799185,-4.00835641155765
10,698517.398209712,3.35805216815866,4.86557310080867,4.95375026674193,5.94897513898845,-9.74187658415988,-3.62856716797347
11,354142.219119776,3.12687283193406,4.64562775519813,4.73606192275613,5.73044363083785,-17.7291235249865,-3.54537297910762
12,180787.532545683,3.00035615468846,4.54533151336701,4.62749619439708,5.63721916677098,-7.72912352498656,-3.32119699426871
13,86972.3868665603,2.89893305448293,4.48503753038233,4.56559922923696,5.58698768115966,-17.7244264484397,-3.04988957884582
14,44741.3436395656,2.8260760063405,4.44508580081034,4.5158439837351,5.55809964517378,-7.72442644843968,-2.75541225312685
15,22821.519546424,2.76423976888543,4.41485608823093,4.48103668280867,5.5386710160448,-17.7194770133623,-2.45138185711588
16,11918.4310939382,2.71408236676721,4.3913830959194,4.4530846450767,5.52528669486503,-7.71947701336234,-2.14177742892898
17,6331.88036347042,2.67178756533832,4.37266662199761,4.43336726321645,5.5156958422383,-16.412447433159,-1.82976036200221
18,3500.25177738961,2.63711897999081,4.35825957809626,4.42027202845832,5.50937766088831,-6.90775534760599,-1.51715665334811
19,2065.47093534371,2.60975649005604,4.34833588957174,4.41570312497691,5.50639136437469,-10.0780353291536,-1.20630515612606
20,1348.95207255594,2.59122272340555,4.34406309001648,4.42172207645354,5.50767382647328,-6.90920261007126,-0.900722366059743
21,998.163794163904,2.58481123719727,4.34793311616492,4.44464508876348,5.51518508060822,-7.12374783802985,-0.606610728895945
22,832.980669858434,2.59695585898578,4.36408842126012,4.49525036530684,5.53208839334357,-6.94610791497592,-0.335089474512423
23,759.831278042057,2.63644744731683,4.39685728306565,4.5894129511479,5.56145302689494,-6.92353827361896,-0.10509099953944
24,729.560400972495,2.70644912082281,4.4435684490125,4.73946768402475,5.60069760334847,-6.91292421740234,0.0578498639365351
25,717.246573393142,2.78932662905456,4.48485869777571,4.93244401811399,5.63458021446635,-6.9095634400839,0.141006229202083
26,712.173073040066,2.86420262079147,4.50447735447521,5.13588014428537,5.64995624303424,-6.90842496273062,0.17062042512339
27,710.318198194033,2.93341390068045,4.5113155678002,5.32893700420498,5.65311308108607,-6.90802560694596,0.181210735606438
28,709.851491528691,2.98972896819197,4.51334914150566,5.47852602273586,5.65161578376076,-6.90788870685055,0.184752184110906
29,709.802515524981,3.01621610989138,4.51298516974988,5.5460489214562,5.64927663222115,-6.90784591303022,0.184359586973567
30,709.801883994682,3.01915276506797,4.51226629461913,5.5534695102155,5.64825377708221,-6.90783581345876,0.18334162204252
31,709.801883392284,3.01897921184195,4.51214526736527,5.55316739684425,5.64815846863891,-6.90783494739352,0.18324520866753
32,709.801883388537,3.01898416629238,4.51214676044257,5.55319151030959,5.64815940821785,-6.90783497206676,0.183248980537773
33,709.801883388537,3.01898416629238,4.51214676044257,5.55319151030959,5.64815940821785,-6.90783497206676,0.183248980537773
