Iteration,Obj,Q,V2,V3,CL,error_ADD1,error_PROP1
1,7031.99112512105,1.72243971173362,6.08021301126901,2.00534951668853,3.74286484318166,-7.16625994903959,-1.07318791545481
2,3893.54473152507,1.72611268648595,6.02252195017155,2.0143182761329,4.70067261604599,-7.16620649194097,-0.791794811230164
3,2357.98925035097,1.17417791849551,5.94164878569445,3.91483099906169,4.8194084100637,-7.16403757494066,-0.541247793584918
4,174287894712.053,1.45876779371193,5.83449881938519,4.00896547986459,8.79514008689112,-7.16390622060543,-0.237598668657008
5,3463.83718367554,1.20070052595288,5.69394625267461,3.93140347760852,5.78299255996958,-7.16400644254249,-0.445482889443647
6,1596.61206992212,1.17410968450288,5.75317433344028,3.91624292750878,4.93127218228742,-7.16403400488377,-0.420990240388888
7,1232.21405144133,1.29304983807303,5.51142741410499,3.95570786138897,5.33997965912682,-7.164016713069,-0.327115799059987
8,972.832242660339,2.10557688310011,5.34508695151478,4.42602717687889,5.59057787283911,-7.16385257853598,-0.159393703900989
9,822.536138264294,3.67227888907717,5.33457677668086,5.51572750126657,6.10697430170033,-7.15985380031613,0.14260969209662
10,754.937290573632,3.56774667592999,4.91652604172607,5.52986663417193,5.96128988080811,-6.91050695329964,0.0142415519161342
11,723.435743442065,3.20760204341491,4.73624778923362,5.33630992375515,5.81658501484571,-6.90971931299888,0.0848894189841848
12,712.956461830697,3.02599540314404,4.60645017390739,5.29181105769705,5.72159724193713,-6.9084429445309,0.151022222779169
13,710.345612316121,2.96595638963197,4.53290784579484,5.3600958235076,5.66988816084757,-6.90802967274156,0.182863166819415
14,709.852377355169,2.99111429875294,4.51441604641004,5.47952817640647,5.65283025636882,-6.90788905987277,0.185972720453489
15,709.802534865464,3.0162532836207,4.51307137918029,5.54591076390378,5.64931755574413,-6.90784594542874,0.184340844127647
16,709.8018840904,3.01915849620313,4.51226841685713,5.5534876635644,5.64826272264657,-6.90783584312023,0.183361210739301
17,709.801883395662,3.01897924682535,4.51214610416857,5.55316403949471,5.64815797462704,-6.90783494468047,0.183242755031737
18,709.801883387841,3.01898426665715,4.51214669237991,5.55319219860892,5.64815957091384,-6.9078349726845,0.183249497550284
19,709.801883387841,3.01898426665715,4.51214669237991,5.55319219860892,5.64815957091384,-6.9078349726845,0.183249497550284
