Iteration,Obj,Q,V2,V3,CL,error_ADD1,error_PROP1
1,1209.03887723084,2.65822007485796,3.24181235724482,4.9736018819166,0.485211019124663,-5.1064900685697,-0.332338881224953
2,1130.87809055762,3.11657674559617,3.9329355323065,5.45822163160705,0.689186381275577,-5.10695409113586,-0.143142015954166
3,1141.99874015165,4.08813022253615,5.40549924394537,6.34710507730161,0.989085491662538,-5.10802388710641,-0.0560469201220114
4,1099.62755824189,3.35869131309724,4.30051925060978,5.67952885944763,0.763872779938557,-5.10722113425687,-0.101817354017215
5,1052.35381363418,4.0455682223502,4.70929011489795,6.24701125106718,0.932048382567539,-5.1079575695263,0.00204145158991514
6,927.577415859805,5.45210320835272,4.71567547218229,7.64850130652685,1.16993597326429,-5.10950295561556,0.0312183583183117
7,321718.479848265,8.17196474743128,3.82857747263507,10.3552035499283,1.31130702003764,-5.11120606452283,-0.653752432805646
8,912.326892931531,6.10157693065253,4.39163273844187,8.31164721626132,1.20439388958405,-5.10992305510015,-0.148308353061217
9,904.147678777009,5.60433262126282,4.6013862530201,7.80769009865727,1.17816942489795,-5.10960427345487,0.00197269715415202
10,875.909024398121,5.90117498375633,4.44244974941076,8.17209367357091,1.19387164342579,-5.10982472208982,-0.0579207580130484
11,848.372644679473,5.77151474758565,4.49481616488658,8.6405206591681,1.20589876605922,-5.11023445959024,0.0463735090687584
12,792.855550554219,5.62093895929074,4.50950895296228,9.62783792866136,1.23018505137364,-5.11090968190091,0.00483577006194309
13,754.400316547546,5.54861751654972,4.37579391691264,11.6138002527034,1.28312213406004,-5.1121433317393,-0.168484035535762
14,731.247155423099,5.60353078193421,4.42850885201948,11.5241958090996,2.80708788227981,-6.38222743962668,0.0456825584743314
15,930.076409315722,5.50950630527626,4.48191136201281,11.1579919661374,4.96725158667225,-6.9076460240249,0.153085269182864
16,723.732357360989,5.58390807918626,4.48189943059562,11.3077651169144,3.74790583722097,-6.61241570772116,0.153097362553626
17,1595.98376776269,5.2885219283114,4.51200879069291,10.5939355079687,5.58804481343626,-6.73364132405833,0.191042927780008
18,719.354787038076,5.51524640260431,4.51216599169619,11.0506883933831,4.16730016377674,-6.64179384512493,0.191309474528027
19,733.728820514669,5.29253725140656,4.52870742983787,10.5397482120661,4.99653706902025,-6.67259701950226,0.213258728255752
20,717.992799823141,5.46274850944393,4.52898270523122,10.8829469290276,4.3427114886204,-6.64918088135887,0.21367618913997
21,718.461000629599,5.33335333911404,4.53538954355792,10.6020411398592,4.73520622554534,-6.66036228220768,0.225105673517244
22,717.842029632303,5.4323753856289,4.53542256511861,10.8019575405316,4.43193514746569,-6.65193184559998,0.225221247948174
23,717.808203449419,5.36222971407502,4.53676338148973,10.6568363471695,4.62294735879348,-6.65677517842583,0.228060427647956
24,717.717232051278,5.27812415925989,4.53890903927838,10.4836360394454,4.78234625619586,-6.66068478618254,0.227958351328876
25,717.609453469007,5.18622537290365,4.54022085214374,10.2955341665739,4.91894408826437,-6.66392889449219,0.229000126016752
26,717.840528697092,4.99325084338993,4.54166246203326,9.90206594919938,5.15956501324133,-6.66946643094027,0.229753784939162
27,717.51797991426,5.1374280939581,4.54206777888577,10.1935313118762,4.97216393953261,-6.66530841040091,0.230254313543532
28,717.418489002052,5.03917223650685,4.5420554998177,9.99379813602261,5.08593895879727,-6.66786340199156,0.231327758666404
29,717.424969866715,4.83582125154406,4.54441872276039,9.57681224690374,5.27233050419376,-6.67237483649885,0.231127070409745
30,717.321877107286,4.98883530481194,4.54467789265092,9.88699593909552,5.12688132135349,-6.66898864047384,0.231579493444997
31,717.189439642904,4.8859962278883,4.54484243992953,9.67706643279418,5.21547037771599,-6.67108893636193,0.232704501219356
32,717.029621036281,4.67697474538608,4.54730251934165,9.24683504925426,5.36103881987804,-6.67484427391375,0.23255076570576
33,716.492806211849,4.46556994860723,4.55182806525164,8.8028801102742,5.45148721212621,-6.67789737952051,0.231341783667199
34,716.200850344209,4.03854078071222,4.55674188435658,7.91139822758984,5.60264694873298,-6.68274909208293,0.233200178359969
35,713.874960288271,3.62485868306679,4.56578241570288,7.00321500842903,5.66532964567725,-6.68601643483818,0.22621199729884
36,720.555929619714,2.81778469977304,4.57301085258753,5.17556299556869,5.75499905913304,-6.69026709334105,0.213519562971206
37,712.127371327404,3.43953363933401,4.57808868251118,6.53927647890482,5.6814366173415,-6.68707730827211,0.228125332505165
38,710.524536751651,3.05334282354195,4.576987350598,5.61756044260168,5.71577364187752,-6.68890091954462,0.218084574679082
39,709.813618099452,3.01126996760057,4.51164041627485,5.5467696234506,5.64759884997124,-6.90788084821178,0.176671627011313
40,709.801916052467,3.01817491061733,4.5115073604847,5.55300441290191,5.64773344617281,-6.90783601253176,0.182912442485922
41,709.801883711283,3.01892747388425,4.51211219748536,5.55311112266584,5.64810623411481,-6.90783491791839,0.183161745444345
42,709.801883394069,3.01898067146539,4.51214154169643,5.55319821782015,5.64815859735604,-6.90783497724708,0.183253946479829
43,709.801883387191,3.01898263726924,4.51214626147797,5.55318658845366,5.6481581636083,-6.90783496729263,0.183246191669271
44,709.801883387191,3.01898263726924,4.51214626147797,5.55318658845366,5.6481581636083,-6.90783496729263,0.183246191669271
