Iteration,Obj,Q,V2,V3,CL,error_ADD1,error_PROP1
1,1294.56420297414,7.10636969825351,1.47444177334945,3.54016467188787,3.2581945449666,-0.150988087352465,2.90884549550918
2,1247.79841341015,7.10921602659332,1.42924409512958,3.2092823806105,4.08454383629476,-0.119275130156538,2.45651031667145
3,1223.5810182401,7.10708115469764,1.46314377767645,3.4574544185247,3.46475681593405,-0.142163454701175,2.79577464523271
4,1139.51639161809,7.10220125839463,1.46047043681872,3.4635323009913,3.81689567000635,-0.112997879195472,2.44210856983045
5,1302.36124554645,7.11056331442027,1.39883829281982,3.00869519921934,4.63413959736094,0.049285342134522,2.13383732667179
6,1073.78330018742,7.10424480830783,1.44539301750642,3.35226811632513,4.01689297960084,-0.0482675911412157,2.36661126852389
7,1039.86098614266,7.09642671529217,1.45594120210206,3.44904405341199,4.08548181862772,0.0922108455671816,2.19772251459966
8,983.591897586597,7.07738391076537,1.47709848969774,3.6731862089384,4.23992079269502,0.263549536045889,1.81596121310261
9,883.718662334966,7.03139975089517,1.50678482081022,4.15148074996109,4.5720415648288,0.444695962037939,1.02531611964211
10,1026.22902310974,6.88298579070126,1.52122211048841,5.17739667533933,5.31415642402662,0.624131976115222,-0.505150998404538
11,838.428437039465,6.99478155839473,1.51055328699594,4.40739223810094,4.74905772369786,0.54345290022998,0.648398953973223
12,801.455046062087,6.80187550135894,1.58379040363037,4.94040946471552,5.16083276507045,0.667571339448718,-0.0504229942010199
13,781.603972437311,7.23673398562788,2.33150987298847,5.20902444037965,5.43120320543515,0.87883799111278,0.198427309097899
14,771.484550439627,7.80434254737886,4.11817029799437,5.64722866900863,5.87574385540261,1.13287427731115,0.0209829349143994
15,809.406819342378,6.94899416353558,4.33407514829003,5.72215415194006,6.53952591361869,2.49866348609707,-0.126139041972467
16,737.882183329574,7.36880655736288,4.13895033931605,5.70728029658029,6.0729985388096,1.26435488482526,0.0295800531628873
17,810.32717320758,7.01854155340976,3.97622584186902,5.21127337301883,6.68381815024883,1.74291868051251,0.0814297682100643
18,722.509162905791,7.21882777574669,4.08472981246069,5.61023968943165,6.21509513608891,1.3181619524904,0.0971298615043327
19,710.127773131082,6.88880844905157,3.86687893598905,5.33712954283189,6.21960755295764,1.44957488287197,0.0553062051878983
20,703.925695098625,6.49059604474498,3.37379751265247,4.96533312039112,5.92911657302373,1.51380492044138,-0.217708490108927
21,704.88217386393,6.48156569868208,3.20261170286376,4.61652140143962,6.03154393864874,1.65787672019314,-0.0244119201045294
22,702.394098163649,6.45540844956499,3.30011424470751,4.79268175006462,5.99663069170523,1.57778408804825,-0.0859033175964957
23,718.26277353963,6.63927046078474,3.1273858739951,4.37725069477923,5.98968022396693,1.60208389441576,0.0287107182249184
24,701.93929221096,6.48996519966147,3.25004479411125,4.68729159340388,5.97349615073602,1.57402025372594,-0.0695502577930629
25,701.840841217828,6.51873309437497,3.05753841887502,4.54740598246868,5.90459511379631,1.57598509084679,-0.0867112561809867
26,701.758008864804,6.49051747667183,3.20390985679922,4.66801137853313,5.94231694855588,1.57261461380193,-0.0903268634150545
27,701.75402099108,6.50977938343926,3.11998214123797,4.58057290326514,5.92165538740469,1.57508550572054,-0.0788540663060923
28,701.706936047067,6.49174896853376,3.18174607694577,4.64736064717459,5.93477611670965,1.57285795831183,-0.0909874518290139
29,701.628583469962,6.4847499433897,3.12860351707225,4.62131370568564,5.9177264000864,1.57337164047484,-0.0989706421796483
30,701.598300339836,6.42415392384311,3.02821869950876,4.62431181137327,5.88927068462934,1.57286624541502,-0.131482887321242
31,701.93042288087,6.46939870929814,3.01177841721962,4.52156335278066,5.89814593506367,1.57664379443289,-0.079933543750397
32,701.54950363707,6.43016451360477,3.02675962564915,4.597362259017,5.893705190602,1.57341804715173,-0.1176243623779
33,701.542282824282,6.4364086631558,3.01049321399503,4.57346984867844,5.88614267014811,1.57394777378426,-0.110941747112273
34,701.545192746649,6.42099520773088,3.00389437964111,4.59472553942874,5.88122561135823,1.57359334482225,-0.125751736980887
