"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","AMT","RATE","ADDL","II","SPECIES","DOSE","ROUTE","FORMULATION","BQL","WT","LVW","CMT2","IXGDF","USUBJID","EVID","CENS","ADM","TINF","TIMEPOS"
"44","25",25,4,1.02,1,4,0,NA,NA,0,0,1,10,1,1,0,27.03,1.5917,2,44,"SJ22",0,0,NA,0,4
"45","26",26,0,NA,NA,0,1,282900,NA,0,0,1,10,1,1,0,28.29,1.5331,2,45,"SJ23",1,0,0,0,0
"46","26",26,4,0.03,1,4,0,NA,NA,0,0,1,10,1,1,0,28.29,1.5331,2,46,"SJ23",0,0,NA,0,4
"47","27",27,0,NA,NA,0,1,278400,NA,0,0,1,10,1,1,0,27.84,1.5836,2,47,"SJ24",1,0,0,0,0
"48","27",27,4,1.2,1,4,0,NA,NA,0,0,1,10,1,1,0,27.84,1.5836,2,48,"SJ24",0,0,NA,0,4
"49","28",28,0,NA,NA,0,1,278800,NA,0,0,1,10,1,1,1,27.88,1.7962,2,49,"SJ25",1,0,0,0,0
"50","28",28,6,NA,NA,6,1,NA,NA,0,0,1,10,1,1,1,27.88,1.7962,2,50,"SJ25",1,0,0,0,6
"51","29",29,0,NA,NA,0,1,265100,NA,0,0,1,10,1,1,0,26.51,1.7962,2,51,"SJ26",1,0,0,0,0
"52","29",29,6,0.6,1,6,0,NA,NA,0,0,1,10,1,1,0,26.51,1.7962,2,52,"SJ26",0,0,NA,0,6
"53","30",30,0,NA,NA,0,1,289400,NA,0,0,1,10,1,1,0,28.94,1.7962,2,53,"SJ27",1,0,0,0,0
"54","30",30,6,3.05,1,6,0,NA,NA,0,0,1,10,1,1,0,28.94,1.7962,2,54,"SJ27",0,0,NA,0,6
"55","31",31,0,NA,NA,0,1,282100,NA,0,0,1,10,1,1,0,28.21,1.7962,2,55,"SJ28",1,0,0,0,0
"56","31",31,8,0.61,1,8,0,NA,NA,0,0,1,10,1,1,0,28.21,1.7962,2,56,"SJ28",0,0,NA,0,8
"57","32",32,0,NA,NA,0,1,272000,NA,0,0,1,10,1,1,0,27.2,1.6345,2,57,"SJ29",1,0,0,0,0
"58","32",32,8,0.85,1,8,0,NA,NA,0,0,1,10,1,1,0,27.2,1.6345,2,58,"SJ29",0,0,NA,0,8
"59","33",33,0,NA,NA,0,1,277200,NA,0,0,1,10,1,1,0,27.72,1.7872,2,59,"SJ30",1,0,0,0,0
"60","33",33,8,0.38,1,8,0,NA,NA,0,0,1,10,1,1,0,27.72,1.7872,2,60,"SJ30",0,0,NA,0,8
"61","34",34,0,NA,NA,0,1,273400,NA,0,0,1,10,2,1,0,27.34,1.2836,1,61,"SJ31",1,0,0,0,0
"62","34",34,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.34,1.2836,2,62,"SJ31",0,0,NA,0,0
"63","34",34,0.033,21.44,1,0.033,0,NA,NA,0,0,1,10,2,1,0,27.34,1.2836,2,63,"SJ31",0,0,NA,0,0.033
"64","35",35,0,NA,NA,0,1,277400,NA,0,0,1,10,2,1,0,27.74,1.2836,1,64,"SJ32",1,0,0,0,0
"65","35",35,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.74,1.2836,2,65,"SJ32",0,0,NA,0,0
"66","35",35,0.033,16.6,1,0.033,0,NA,NA,0,0,1,10,2,1,0,27.74,1.2836,2,66,"SJ32",0,0,NA,0,0.033
"67","36",36,0,NA,NA,0,1,270800,NA,0,0,1,10,2,1,0,27.08,1.2836,1,67,"SJ33",1,0,0,0,0
"68","36",36,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.08,1.2836,2,68,"SJ33",0,0,NA,0,0
"69","36",36,0.033,22.37,1,0.033,0,NA,NA,0,0,1,10,2,1,0,27.08,1.2836,2,69,"SJ33",0,0,NA,0,0.033
"70","37",37,0,NA,NA,0,1,273000,NA,0,0,1,10,2,1,0,27.3,1.2836,1,70,"SJ34",1,0,0,0,0
"71","37",37,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.3,1.2836,2,71,"SJ34",0,0,NA,0,0
"72","37",37,0.083,25.68,1,0.083,0,NA,NA,0,0,1,10,2,1,0,27.3,1.2836,2,72,"SJ34",0,0,NA,0,0.083
"73","38",38,0,NA,NA,0,1,292900,NA,0,0,1,10,2,1,0,29.29,1.2836,1,73,"SJ35",1,0,0,0,0
"74","38",38,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,29.29,1.2836,2,74,"SJ35",0,0,NA,0,0
"75","38",38,0.083,9.52,1,0.083,0,NA,NA,0,0,1,10,2,1,0,29.29,1.2836,2,75,"SJ35",0,0,NA,0,0.083
"76","39",39,0,NA,NA,0,1,265900,NA,0,0,1,10,2,1,0,26.59,1.2836,1,76,"SJ36",1,0,0,0,0
"77","39",39,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,26.59,1.2836,2,77,"SJ36",0,0,NA,0,0
"78","39",39,0.083,46.71,1,0.083,0,NA,NA,0,0,1,10,2,1,0,26.59,1.2836,2,78,"SJ36",0,0,NA,0,0.083
"79","40",40,0,NA,NA,0,1,268700,NA,0,0,1,10,2,1,0,26.87,1.2836,1,79,"SJ37",1,0,0,0,0
"80","40",40,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,26.87,1.2836,2,80,"SJ37",0,0,NA,0,0
"81","40",40,0.25,44.58,1,0.25,0,NA,NA,0,0,1,10,2,1,0,26.87,1.2836,2,81,"SJ37",0,0,NA,0,0.25
"82","41",41,0,NA,NA,0,1,273800,NA,0,0,1,10,2,1,0,27.38,1.2836,1,82,"SJ38",1,0,0,0,0
"83","41",41,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.38,1.2836,2,83,"SJ38",0,0,NA,0,0
"84","41",41,0.25,30.57,1,0.25,0,NA,NA,0,0,1,10,2,1,0,27.38,1.2836,2,84,"SJ38",0,0,NA,0,0.25
"85","42",42,0,NA,NA,0,1,277100,NA,0,0,1,10,2,1,0,27.71,1.2836,1,85,"SJ39",1,0,0,0,0
"86","42",42,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.71,1.2836,2,86,"SJ39",0,0,NA,0,0
"87","42",42,0.25,5.01,1,0.25,0,NA,NA,0,0,1,10,2,1,0,27.71,1.2836,2,87,"SJ39",0,0,NA,0,0.25
"88","43",43,0,NA,NA,0,1,283200,NA,0,0,1,10,2,1,0,28.32,1.2836,1,88,"SJ40",1,0,0,0,0
"89","43",43,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.32,1.2836,2,89,"SJ40",0,0,NA,0,0
"90","43",43,0.5,21.49,1,0.5,0,NA,NA,0,0,1,10,2,1,0,28.32,1.2836,2,90,"SJ40",0,0,NA,0,0.5
"91","44",44,0,NA,NA,0,1,295100,NA,0,0,1,10,2,1,0,29.51,1.5218,1,91,"SJ41",1,0,0,0,0
"92","44",44,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,29.51,1.5218,2,92,"SJ41",0,0,NA,0,0
"93","44",44,0.5,47.16,1,0.5,0,NA,NA,0,0,1,10,2,1,0,29.51,1.5218,2,93,"SJ41",0,0,NA,0,0.5
"94","45",45,0,NA,NA,0,1,301000,NA,0,0,1,10,2,1,0,30.1,1.4692,1,94,"SJ42",1,0,0,0,0
"95","45",45,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,30.1,1.4692,2,95,"SJ42",0,0,NA,0,0
"96","45",45,0.5,46.16,1,0.5,0,NA,NA,0,0,1,10,2,1,0,30.1,1.4692,2,96,"SJ42",0,0,NA,0,0.5
"97","46",46,0,NA,NA,0,1,298300,NA,0,0,1,10,2,1,0,29.83,1.3174,1,97,"SJ43",1,0,0,0,0
"98","46",46,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,29.83,1.3174,2,98,"SJ43",0,0,NA,0,0
"99","46",46,0.75,76.97,1,0.75,0,NA,NA,0,0,1,10,2,1,0,29.83,1.3174,2,99,"SJ43",0,0,NA,0,0.75
"100","47",47,0,NA,NA,0,1,296100,NA,0,0,1,10,2,1,0,29.61,1.3174,1,100,"SJ44",1,0,0,0,0
"101","47",47,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,29.61,1.3174,2,101,"SJ44",0,0,NA,0,0
"102","47",47,0.75,19.56,1,0.75,0,NA,NA,0,0,1,10,2,1,0,29.61,1.3174,2,102,"SJ44",0,0,NA,0,0.75
"103","48",48,0,NA,NA,0,1,287300,NA,0,0,1,10,2,1,0,28.73,1.3174,1,103,"SJ45",1,0,0,0,0
"104","48",48,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.73,1.3174,2,104,"SJ45",0,0,NA,0,0
"105","48",48,0.75,15.36,1,0.75,0,NA,NA,0,0,1,10,2,1,0,28.73,1.3174,2,105,"SJ45",0,0,NA,0,0.75
"106","49",49,0,NA,NA,0,1,272900,NA,0,0,1,10,2,1,0,27.29,1.3174,1,106,"SJ46",1,0,0,0,0
"107","49",49,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.29,1.3174,2,107,"SJ46",0,0,NA,0,0
"108","49",49,1,7.46,1,1,0,NA,NA,0,0,1,10,2,1,0,27.29,1.3174,2,108,"SJ46",0,0,NA,0,1
"109","50",50,0,NA,NA,0,1,287100,NA,0,0,1,10,2,1,0,28.71,1.387,1,109,"SJ47",1,0,0,0,0
"110","50",50,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.71,1.387,2,110,"SJ47",0,0,NA,0,0
"111","50",50,1,59.38,1,1,0,NA,NA,0,0,1,10,2,1,0,28.71,1.387,2,111,"SJ47",0,0,NA,0,1
"112","51",51,0,NA,NA,0,1,296300,NA,0,0,1,10,2,1,0,29.63,1.6987,1,112,"SJ48",1,0,0,0,0
"113","51",51,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,29.63,1.6987,2,113,"SJ48",0,0,NA,0,0
"114","51",51,1,22.34,1,1,0,NA,NA,0,0,1,10,2,1,0,29.63,1.6987,2,114,"SJ48",0,0,NA,0,1
"115","52",52,0,NA,NA,0,1,284800,NA,0,0,1,10,2,1,0,28.48,1.4402,1,115,"SJ49",1,0,0,0,0
"116","52",52,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.48,1.4402,2,116,"SJ49",0,0,NA,0,0
"117","52",52,2,3.2,1,2,0,NA,NA,0,0,1,10,2,1,0,28.48,1.4402,2,117,"SJ49",0,0,NA,0,2
"118","53",53,0,NA,NA,0,1,285100,NA,0,0,1,10,2,1,0,28.51,1.2256,1,118,"SJ50",1,0,0,0,0
"119","53",53,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.51,1.2256,2,119,"SJ50",0,0,NA,0,0
"120","53",53,2,1.15,1,2,0,NA,NA,0,0,1,10,2,1,0,28.51,1.2256,2,120,"SJ50",0,0,NA,0,2
"121","54",54,0,NA,NA,0,1,274900,NA,0,0,1,10,2,1,0,27.49,1.2772,1,121,"SJ51",1,0,0,0,0
"122","54",54,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.49,1.2772,2,122,"SJ51",0,0,NA,0,0
"123","54",54,2,24.32,1,2,0,NA,NA,0,0,1,10,2,1,0,27.49,1.2772,2,123,"SJ51",0,0,NA,0,2
"124","55",55,0,NA,NA,0,1,303300,NA,0,0,1,10,2,1,0,30.33,1.5539,1,124,"SJ52",1,0,0,0,0
"125","55",55,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,30.33,1.5539,2,125,"SJ52",0,0,NA,0,0
"126","55",55,3,16.55,1,3,0,NA,NA,0,0,1,10,2,1,0,30.33,1.5539,2,126,"SJ52",0,0,NA,0,3
"127","56",56,0,NA,NA,0,1,279500,NA,0,0,1,10,2,1,0,27.95,1.5539,1,127,"SJ53",1,0,0,0,0
"128","56",56,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.95,1.5539,2,128,"SJ53",0,0,NA,0,0
"129","56",56,3,2.56,1,3,0,NA,NA,0,0,1,10,2,1,0,27.95,1.5539,2,129,"SJ53",0,0,NA,0,3
"130","57",57,0,NA,NA,0,1,275000,NA,0,0,1,10,2,1,0,27.5,1.5539,1,130,"SJ54",1,0,0,0,0
"131","57",57,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.5,1.5539,2,131,"SJ54",0,0,NA,0,0
"132","57",57,3,1.84,1,3,0,NA,NA,0,0,1,10,2,1,0,27.5,1.5539,2,132,"SJ54",0,0,NA,0,3
"133","58",58,0,NA,NA,0,1,274500,NA,0,0,1,10,2,1,0,27.45,1.5539,1,133,"SJ55",1,0,0,0,0
"134","58",58,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,27.45,1.5539,2,134,"SJ55",0,0,NA,0,0
"135","58",58,4,3.85,1,4,0,NA,NA,0,0,1,10,2,1,0,27.45,1.5539,2,135,"SJ55",0,0,NA,0,4
"136","59",59,0,NA,NA,0,1,283500,NA,0,0,1,10,2,1,0,28.35,1.5491,1,136,"SJ56",1,0,0,0,0
"137","59",59,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.35,1.5491,2,137,"SJ56",0,0,NA,0,0
"138","59",59,4,7.78,1,4,0,NA,NA,0,0,1,10,2,1,0,28.35,1.5491,2,138,"SJ56",0,0,NA,0,4
"139","60",60,0,NA,NA,0,1,288500,NA,0,0,1,10,2,1,0,28.85,1.4813,1,139,"SJ57",1,0,0,0,0
"140","60",60,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,28.85,1.4813,2,140,"SJ57",0,0,NA,0,0
"141","60",60,4,2.8,1,4,0,NA,NA,0,0,1,10,2,1,0,28.85,1.4813,2,141,"SJ57",0,0,NA,0,4
"142","62",62,0,NA,NA,0,1,290400,NA,0,0,1,10,2,1,0,29.04,1.5658,1,142,"SJ58",1,0,0,0,0
"143","62",62,0,0,1,0,0,NA,NA,0,0,1,10,2,1,0,29.04,1.5658,2,143,"SJ58",0,0,NA,0,0
"144","62",62,6,0.16,1,6,0,NA,NA,0,0,1,10,2,1,0,29.04,1.5658,2,144,"SJ58",0,0,NA,0,6
"145","63",63,0,NA,NA,0,1,273300,NA,0,0,1,10,2,1,0,27.33,1.5658,1,145,"SJ59",1,0,0,0,0
