"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","EVID","CENS","AMT","ADM","RATE","ADDL","II","TIMEUNIT","NAME","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","LIV","IXGDF","USUBJID","TINF","TIMEPOS"
"39","5",5,1,2.2491,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,39,"SJ5",0,1
"40","5",5,2,0.9655,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,40,"SJ5",0,2
"41","5",5,4,1.0409,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,41,"SJ5",0,4
"42","5",5,8,1.2393,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,42,"SJ5",0,8
"43","6",6,0,NA,NA,0,1,1,0,5000,2,NA,0,0,"HOURS","INPUT2",2,1,1,5,1,1,0,43,"SJ6",0,0
"44","6",6,0,0,1,0,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,44,"SJ6",0,0
"45","6",6,0.25,2.4061,1,0.25,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,45,"SJ6",0,0.25
"46","6",6,0.5,3.0076,1,0.5,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,46,"SJ6",0,0.5
"47","6",6,0.75,1.9909,1,0.75,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,47,"SJ6",0,0.75
"48","6",6,1,1.9189,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,48,"SJ6",0,1
"49","6",6,2,0.7838,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,49,"SJ6",0,2
"50","6",6,4,0.9361,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,50,"SJ6",0,4
"51","6",6,8,0.4998,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,5,1,1,0,51,"SJ6",0,8
