Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,1505927.274387,2.56470224215608,0.970225409480084,-3.00058109544148,3.13009396038322,3.96012989680468,2.77254453054545,-2.29602742107519,-0.61324048685245
2,778944.807557103,2.53500250576436,1.24610820851029,-3.03646853367229,3.01030254861975,3.6604636042425,2.86899623834413,-2.43793059350696,-1.50100700295924
3,410061.922333809,1.82223252041638,1.4183035848993,-3.14791746681763,2.86648072624368,3.42452657311933,3.98696864291705,-3.77756138245231,-2.07464707830379
4,143348825.821609,2.70406668813304,1.56966205168864,-1.85648420458048,1.30291870038635,5.25000807978074,1.92650057551652,-3.99448271796798,-0.214010953554471
5,219837.922316394,2.02238918519555,1.50272475211832,-2.84863408935106,2.45114081113818,3.8450635410128,3.52620332782974,-3.83112440318173,-1.52810560977793
6,110522.072578957,2.78177842529209,1.4932825433311,-2.81757209256897,2.59303387993949,3.9967320471093,1.86997344078122,-3.68447104935916,-0.744184468725495
7,55021.5430448955,3.16888497546546,1.45419697956131,-2.86734413052974,2.79639770191529,3.87335445109678,-0.0184069712522517,-7.16012117416927,-0.365444710863019
8,26619.6485094829,5.12586855105409,1.65925280231885,-2.9561576374475,3.00428061542096,3.7092618500624,-0.236264377717266,-14.9049449345667,-0.508295995781654
9,10005.505643808,6.28713438464986,1.72810077544182,-3.0085153940885,3.15908778871812,3.62209241321758,-0.793662160620493,-24.8174537981258,-0.298790951096809
10,149.894264179392,6.29027936733697,1.6985215275904,-3.13652841379318,3.367075966204,3.43882319587863,-1.80269477548144,-34.7580457109526,-0.0297788297278098
11,-6246.16080117829,6.29011217601873,1.74528872091936,-3.28926990562437,3.55041117447819,3.17461121360089,-2.26678736972008,-44.7407722610554,-0.0589253226351818
12,-10840.4345460769,6.29019929036745,1.76244612907165,-3.50134572437093,3.84164518757738,2.84924655108491,-2.90211469123527,-54.7086176113612,-0.00969596409164024
13,-14639.8856832419,6.28817597609408,1.79734555780155,-3.50044317015068,3.84405026388204,2.77368147263399,-3.01858528117587,-64.7065466849114,0.134907276914861
14,-17927.8214955843,6.28624280833883,1.82068647236555,-3.48128622270217,3.83837342903347,2.71327832171757,-3.18448736131904,-74.7036550713775,0.295232433210497
15,-20958.9871155882,6.28447554119755,1.83805587598847,-3.46165401798204,3.84515091863515,2.64027977185208,-3.39197700122701,-84.7003986363232,0.421728217281691
16,-23864.0349736474,6.28313741889421,1.84853308991488,-3.41243276040705,3.818703606899,2.60207683909718,-3.54055254762242,-94.6986180993491,0.51510401267513
17,-26708.2903372377,6.28255489406595,1.84633818089533,-3.3790289409924,3.82820496794262,2.54735422150792,-3.6644630870608,-104.697545581493,0.558423079715144
18,-29525.0144795494,6.28317866964413,1.83362659894849,-3.30750369814922,3.78337510356013,2.56307121974596,-3.67163086895613,-114.697102170438,0.594219494417932
19,-32329.2200555076,6.28563710681838,1.81874478051955,-3.28602826644206,3.81131210766479,2.52331219813598,-3.72046730783771,-124.696830418979,0.594215814668473
20,-35126.820413124,6.29010441446096,1.80584822150837,-3.21109892394328,3.74699731973803,2.57441948377439,-3.66440428550931,-134.696001733078,0.620268412684648
21,-37920.6615671514,6.29688416845285,1.79922349284489,-3.22775763138311,3.81201718286566,2.50983540095914,-3.73603400145626,-144.695285512402,0.600289225178692
22,-40711.6529226204,6.30497935785073,1.79644205750886,-3.15062775574271,3.7186165597673,2.59710066730354,-3.64110416782719,-154.693663878566,0.632746552919909
23,-43500.1463371081,6.31394693123853,1.79909941528811,-3.21507082858552,3.83651056191813,2.49181175371912,-3.76456607013596,-164.691364109607,0.593779789015152
24,-46286.3019094666,6.32225098784742,1.80193549555471,-3.12051862283488,3.69803301797478,2.62888660241952,-3.61926924698531,-174.687830053537,0.644313866219519
25,-49069.4711476089,6.33002816094373,1.80776279802495,-3.22449712926562,3.87161151662347,2.47079393162113,-3.80876791975386,-184.682544482223,0.583393181763324
