ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
54,2,.,24.32,0,3,.,.,1,10,2,1,2,0,27.49,1.2772,2,.
55,0,.,0,0,3,.,.,1,10,2,1,0,0,30.33,1.5539,2,.
55,3,.,16.55,0,3,.,.,1,10,2,1,3,0,30.33,1.5539,2,.
56,0,.,0,0,3,.,.,1,10,2,1,0,0,27.95,1.5539,2,.
56,3,.,2.56,0,3,.,.,1,10,2,1,3,0,27.95,1.5539,2,.
57,0,.,0,0,3,.,.,1,10,2,1,0,0,27.5,1.5539,2,.
57,3,.,1.84,0,3,.,.,1,10,2,1,3,0,27.5,1.5539,2,.
58,0,.,0,0,3,.,.,1,10,2,1,0,0,27.45,1.5539,2,.
58,4,.,3.85,0,3,.,.,1,10,2,1,4,0,27.45,1.5539,2,.
59,0,.,0,0,3,.,.,1,10,2,1,0,0,28.35,1.5491,2,.
59,4,.,7.78,0,3,.,.,1,10,2,1,4,0,28.35,1.5491,2,.
60,0,.,0,0,3,.,.,1,10,2,1,0,0,28.85,1.4813,2,.
60,4,.,2.8,0,3,.,.,1,10,2,1,4,0,28.85,1.4813,2,.
62,0,.,0,0,3,.,.,1,10,2,1,0,0,29.04,1.5658,2,.
62,6,.,0.16,0,3,.,.,1,10,2,1,6,0,29.04,1.5658,2,.
63,0,.,0,0,3,.,.,1,10,2,1,0,0,27.33,1.5658,2,.
63,6,.,2.7,0,3,.,.,1,10,2,1,6,0,27.33,1.5658,2,.
65,0,.,0,0,3,.,.,1,10,2,1,0,0,28.56,1.7403,2,.
65,8,.,0.55,0,3,.,.,1,10,2,1,8,0,28.56,1.7403,2,.
66,0,.,0,0,3,.,.,1,10,2,1,0,0,27.37,1.5724,2,.
66,8,.,2.44,0,3,.,.,1,10,2,1,8,0,27.37,1.5724,2,.
67,0.017,.,7256,0,3,.,.,1,10,1,1,0.017,0,28,1.4,2,.
68,0.017,.,8399.9,0,3,.,.,1,10,1,1,0.017,0,28,1.4,2,.
69,0.017,.,10783.4,0,3,.,.,1,10,1,1,0.017,0,28,1.4,2,.
70,0.083,.,1942.4,0,3,.,.,1,10,1,1,0.083,0,28,1.4,2,.
71,0.083,.,1919.4,0,3,.,.,1,10,1,1,0.083,0,28,1.4,2,.
72,0.083,.,1731.5,0,3,.,.,1,10,1,1,0.083,0,28,1.4,2,.
73,0.25,.,211.7,0,3,.,.,1,10,1,1,0.25,0,28,1.4,2,.
74,0.25,.,308.5,0,3,.,.,1,10,1,1,0.25,0,28,1.4,2,.
75,0.25,.,304.6,0,3,.,.,1,10,1,1,0.25,0,28,1.4,2,.
76,0.5,.,71.7,0,3,.,.,1,10,1,1,0.5,0,28,1.4,2,.
77,0.5,.,169.5,0,3,.,.,1,10,1,1,0.5,0,28,1.4,2,.
78,0.5,.,192.5,0,3,.,.,1,10,1,1,0.5,0,28,1.4,2,.
79,1,.,309.4,0,3,.,.,1,10,1,1,1,0,28,1.4,2,.
80,1,.,72.4,0,3,.,.,1,10,1,1,1,0,28,1.4,2,.
81,1,.,17.6,0,3,.,.,1,10,1,1,1,0,28,1.4,2,.
82,2,.,4.5,0,3,.,.,1,10,1,1,2,0,28,1.4,2,.
83,2,.,4.5,0,3,.,.,1,10,1,1,2,0,28,1.4,2,.
