ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
39,0.083,.,46.71,0,3,.,.,1,10,2,1,0.083,0,26.59,1.2836,1,.
40,0,268700,.,1,1,.,.,1,10,2,1,0,0,26.87,1.2836,1,-2
40,0,.,0,0,3,.,.,1,10,2,1,0,0,26.87,1.2836,1,.
40,0.25,.,44.58,0,3,.,.,1,10,2,1,0.25,0,26.87,1.2836,1,.
41,0,273800,.,1,1,.,.,1,10,2,1,0,0,27.38,1.2836,1,-2
41,0,.,0,0,3,.,.,1,10,2,1,0,0,27.38,1.2836,1,.
41,0.25,.,30.57,0,3,.,.,1,10,2,1,0.25,0,27.38,1.2836,1,.
42,0,277100,.,1,1,.,.,1,10,2,1,0,0,27.71,1.2836,1,-2
42,0,.,0,0,3,.,.,1,10,2,1,0,0,27.71,1.2836,1,.
42,0.25,.,5.01,0,3,.,.,1,10,2,1,0.25,0,27.71,1.2836,1,.
43,0,283200,.,1,1,.,.,1,10,2,1,0,0,28.32,1.2836,1,-2
43,0,.,0,0,3,.,.,1,10,2,1,0,0,28.32,1.2836,1,.
43,0.5,.,21.49,0,3,.,.,1,10,2,1,0.5,0,28.32,1.2836,1,.
44,0,295100,.,1,1,.,.,1,10,2,1,0,0,29.51,1.5218,1,-2
44,0,.,0,0,3,.,.,1,10,2,1,0,0,29.51,1.5218,1,.
44,0.5,.,47.16,0,3,.,.,1,10,2,1,0.5,0,29.51,1.5218,1,.
45,0,301000,.,1,1,.,.,1,10,2,1,0,0,30.1,1.4692,1,-2
45,0,.,0,0,3,.,.,1,10,2,1,0,0,30.1,1.4692,1,.
45,0.5,.,46.16,0,3,.,.,1,10,2,1,0.5,0,30.1,1.4692,1,.
46,0,298300,.,1,1,.,.,1,10,2,1,0,0,29.83,1.3174,1,-2
46,0,.,0,0,3,.,.,1,10,2,1,0,0,29.83,1.3174,1,.
46,0.75,.,76.97,0,3,.,.,1,10,2,1,0.75,0,29.83,1.3174,1,.
47,0,296100,.,1,1,.,.,1,10,2,1,0,0,29.61,1.3174,1,-2
47,0,.,0,0,3,.,.,1,10,2,1,0,0,29.61,1.3174,1,.
47,0.75,.,19.56,0,3,.,.,1,10,2,1,0.75,0,29.61,1.3174,1,.
48,0,287300,.,1,1,.,.,1,10,2,1,0,0,28.73,1.3174,1,-2
48,0,.,0,0,3,.,.,1,10,2,1,0,0,28.73,1.3174,1,.
48,0.75,.,15.36,0,3,.,.,1,10,2,1,0.75,0,28.73,1.3174,1,.
49,0,272900,.,1,1,.,.,1,10,2,1,0,0,27.29,1.3174,1,-2
49,0,.,0,0,3,.,.,1,10,2,1,0,0,27.29,1.3174,1,.
49,1,.,7.46,0,3,.,.,1,10,2,1,1,0,27.29,1.3174,1,.
50,0,287100,.,1,1,.,.,1,10,2,1,0,0,28.71,1.387,1,-2
50,0,.,0,0,3,.,.,1,10,2,1,0,0,28.71,1.387,1,.
50,1,.,59.38,0,3,.,.,1,10,2,1,1,0,28.71,1.387,1,.
51,0,296300,.,1,1,.,.,1,10,2,1,0,0,29.63,1.6987,1,-2
51,0,.,0,0,3,.,.,1,10,2,1,0,0,29.63,1.6987,1,.
51,1,.,22.34,0,3,.,.,1,10,2,1,1,0,29.63,1.6987,1,.
52,0,284800,.,1,1,.,.,1,10,2,1,0,0,28.48,1.4402,1,-2
52,0,.,0,0,3,.,.,1,10,2,1,0,0,28.48,1.4402,1,.
52,2,.,3.2,0,3,.,.,1,10,2,1,2,0,28.48,1.4402,1,.
53,0,285100,.,1,1,.,.,1,10,2,1,0,0,28.51,1.2256,1,-2
53,0,.,0,0,3,.,.,1,10,2,1,0,0,28.51,1.2256,1,.
53,2,.,1.15,0,3,.,.,1,10,2,1,2,0,28.51,1.2256,1,.
54,0,274900,.,1,1,.,.,1,10,2,1,0,0,27.49,1.2772,1,-2
54,0,.,0,0,3,.,.,1,10,2,1,0,0,27.49,1.2772,1,.
