Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,1852.1597255958,1.89792250325869,7.5543261965382,-1.51119565883392,4.60198191810877,0.113001799299516,2.16819000584087,-9.5075759482817,1.15259767773584
2,1339.38078983052,1.89704171817102,7.5292188276686,-1.50976571774765,5.22791580563766,0.162621625168867,2.16805493963136,-10.0116177563432,0.560100185491939
3,427.256450362364,2.23552689711999,7.18209505772092,-1.50833584962638,6.63027041272221,0.227307928814886,2.16774152844378,-11.1812096345405,-0.0927419130241226
4,3271.30094751562,2.53662454927874,7.18536624705042,-1.50676571520842,9.71927616193396,0.269809417568666,2.16706683311587,-13.6990462882224,0.06870038209513
5,-19.887108938894,2.36772357255254,7.11353269782232,-1.50787867486018,7.39393742227804,0.237783827963061,2.16757435903798,-11.8050545610972,-0.0196428948466806
6,-541.74355942062,2.37639182406728,7.10704281843274,-1.50729224613253,8.68561973134318,0.252255474907692,2.16717253863733,-13.3045730713334,0.267887727522665
7,-1214.85308441596,2.21357183248035,7.04738659721777,-1.50664202828975,8.84040025260138,0.256387844450976,2.16664390518941,-15.2773341332169,0.500631858320416
8,-2401.05466413017,2.02143899065706,6.98175897985458,-1.50544759034071,9.15804680094801,0.264522024243734,2.16557806609538,-19.2548460958517,0.693522299565242
9,-4683.76149305381,1.8655732792335,7.00891957450794,-1.50332287610205,9.40412833923717,0.276032507890547,2.16343606251645,-27.2484024468166,0.825158840703754
10,-7590.65521646555,1.52802870699577,6.95620341384921,-1.50055290380652,9.82761787093496,0.289746857051869,2.16076040659917,-37.2334494191688,0.875953836891679
11,540984.334276462,-0.311688076083999,4.71399843662594,-1.49617125247516,14.4889292352041,0.304764350287221,2.15858341869769,-45.3575607124543,-1.0884039698259
12,-8124.53950682711,1.00586183481427,6.41292269178046,-1.49947483972655,10.9642619389684,0.293439016081765,2.16021673315725,-39.2623369230555,0.352667592556648
13,-8958.77209070879,1.07897625516372,6.430283679631,-1.49881958016013,10.8465590629956,0.293556363398594,2.15954907677243,-41.7539055588934,0.502946341407777
14,-10410.6007907425,1.15116020163014,6.47697898151871,-1.49751895347762,10.7430658085753,0.294463118609459,2.15821008675368,-46.7507656358376,0.618316610770661
