Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,15477307250.1358,-3.8317419905864,-3.64143496172617,-1.08699373780695,2.0201158841202,7.67595381533803,1.43582721020794,-3.77577200338292,-2.94225047114724
2,7902918439.60088,-3.33614965019373,-3.64144123662824,-1.08701154325355,2.02011582014135,7.14369093164383,1.43582719480772,-3.78661700366386,-3.62852070975455
3,4011648500.09245,-2.49169774826348,-3.64146113961153,-1.08700142039202,2.02011545164883,6.14097047212999,1.43582716953051,-3.80014039288884,-5.13890800538165
4,2271686070.82663,-3.33362210966497,-3.64133842702062,-1.08628153503933,2.01998335693353,3.36012045013947,1.43582642087343,-1.58510773975685,-6.76730179139634
5,1292481087.04536,1.20703889147419,-3.63975387898964,2.58988818630199,2.02148938664224,8.4634874627649,1.43582638188509,-3.16562631042013,-5.6158786476545
6,869809428.72394,1.23488427523301,3.28771420394425,-2.6098549129085,-1.29118559738099,5.70437117435546,1.38066838259276,-2.82983681350488,-8.11981273145955
7,604949123.144731,2.05498414188162,6.74926986539413,-2.8399600302981,-10.4301384576813,7.32887276718617,1.38066831924486,-2.22914063475226,-7.24128012870826
8,299821492.808833,2.10500131422761,5.45703455197701,0.711321529422988,-1.36055514601634,7.05757885967902,-0.423070395862836,-1.88928654504705,-7.24440119119689
9,157513904.314729,2.17220417241179,12.0965841910032,1.92393731642993,-8.66901615263855,6.98867064279608,-1.27730322480306,-1.54517082879625,-7.04849101694986
10,80315119.5496965,2.24540396172473,2.14395342720334,1.83010867429962,-7.80109393428553,6.96466610909303,-1.29902563878091,-1.20046673877165,-6.8080023707719
11,42654909.8444795,2.32216449372262,3.95337589359766,1.73687839070784,2.00998940756204,6.95861965783259,-1.54404036440937,-0.854935727383393,-6.54901231865679
12,33067822.7247876,1.98468762112241,-5.239872872552,1.39572987574602,-1.87081821069705,6.98047683644606,-1.54405046678871,-0.512542864536702,-6.27421120718251
13,16704538.3673093,2.176829593941,4.1443221288068,1.6129021491332,-5.29143325918368,7.00704640641189,-1.550060474913,-0.150836113840007,-6.08146482131347
14,9629686.84335092,2.34131952448596,4.71862137843784,1.66607915973881,4.37327608374106,7.0174814776781,-1.6094379124341,0.206221842008872,-5.87764343241348
15,6044384.6375437,2.7522931742933,5.98088777213566,2.58987210904621,5.60020794030168,7.04034614569442,-1.60943792896106,0.575441580906055,-5.73680277471406
