Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,3013.68559599771,-2.16698163911153,4.85008645353258,1.81727292485515,8.42362139414667,0.834924459491188,3.01371676544275,-4.34677062767097,2.81266358160161
2,2603.68925038939,-2.09552648343406,5.38518058098544,1.42898085996304,8.59500141093327,0.85175715880629,3.0135061073954,-4.98936603413865,2.47323114851191
3,2180.84666273711,-1.7188973970625,6.15656913125842,0.682874708861142,9.06818160322928,0.872471816362446,3.01302028440494,-6.47132993716325,1.93854349644249
4,1276.90155925434,-1.06612608988385,6.05290944144425,0.609553501180375,9.72073661048648,0.880653626144684,3.01246522556958,-8.16449220863362,1.42368951515487
5,254.663473694345,0.745112709712722,6.35360884402689,0.485999906958528,10.9560351179319,0.898954768907031,3.01147777816592,-11.1766209820528,0.00435314961109534
6,-1291.33899075856,0.948222668678535,6.4929060216154,0.474388525383762,10.8551150522908,0.900066320812657,3.01017167901639,-15.1607712412722,0.240097048971602
7,-3710.1807457878,1.03695815624211,6.51766723290714,0.466174600601042,10.7859132320962,0.901748139881975,3.00755021909324,-23.1573235980422,0.444540783868099
8,-6582.65982387234,1.12168049758581,6.54045402380087,0.458018135147899,10.717242720322,0.904013813603811,3.00427256802085,-33.1555342043229,0.596825915147325
9,-9409.62841844763,1.18317489332379,6.55505837895894,0.451436559903204,10.6701902792277,0.906558579442694,3.00099457606424,-43.1547846504258,0.6902137032723
10,-12222.849756259,1.21139434718099,6.56119215913961,0.445666076243795,10.6580368945544,0.909502402466231,2.99771638543751,-53.1546411237625,0.731982885466614
11,-15032.6683231997,1.21961754237022,6.56464143765118,0.440291797723145,10.6610558690789,0.912634233503005,2.99443815247853,-63.1546267282176,0.744214174383406
12,-17840.422685858,1.2214328783103,6.56691285214374,0.435268591519225,10.6637712637216,0.915771751743007,2.99115991603394,-73.1546229652531,0.747902915820799
13,-20646.1748269182,1.22179872358002,6.56809085947969,0.430551024210303,10.665052339009,0.918896468245145,2.98788167835575,-83.1546229652531,0.749370946195341
14,-23449.9255328066,1.22186501213149,6.5686268038422,0.426073983524991,10.6656215812398,0.922016672928852,2.98460344157884,-93.1546202159908,0.75000491354472
15,-26251.6767902603,1.22187152903891,6.5688364442631,0.421799347052744,10.6658560056926,0.925137357118191,2.98132520455449,-103.154618221522,0.750273265347601
16,-29051.4277721978,1.22187121036958,6.56888991972613,0.417698870299423,10.6659311946835,0.928260999374762,2.97804696749032,-113.15461634854,0.750373451766375
17,-31849.179283904,1.22186879694777,6.56886982677227,0.413751627367757,10.6659328340749,0.931388828229094,2.97476873040452,-123.154614541509,0.750396894767856
18,-34644.9303916183,1.22187157086688,6.56881644123106,0.409948215522772,10.6658987997063,0.934521427510436,2.97149049330119,-133.154612787966,0.750384015832314
19,-37438.6814887637,1.22187207995505,6.56874779314643,0.406279281003837,10.665849781583,0.937659108264373,2.96821225618183,-143.154611083335,0.750355718472056
20,-40230.4325747066,1.22187228250083,6.56867401225026,0.402736707063009,10.6657944116394,0.940802027051425,2.96493401904812,-153.154609422461,0.750320930503872
21,-43020.1836500339,1.22187249532187,6.56859935827406,0.39931340791552,10.6657369149299,0.943950272175034,2.96165578190134,-163.154607801456,0.750284163084834
22,-45807.934715738,1.22187274323062,6.56852575926505,0.396003002268142,10.6656792594697,0.947103899660076,2.95837754474262,-173.154606216865,0.75024747292876
23,-48593.6857774242,1.22187301315756,6.56845404138783,0.392799659569467,10.6656223211733,0.950262950116443,2.95509930757299,-183.15460466557,0.750211763839948
24,-51377.436813721,1.22187328550044,6.56838485941375,0.389696176090268,10.6655666898127,0.953427460114239,2.95182107039354,-193.154603144218,0.750177668979051
25,-54159.1875723926,1.22187354294675,6.56831768855771,0.386689718469143,10.6655120915829,0.9565974543862,2.9485428332049,-203.154601650892,0.750144849742491
26,-56938.9389767484,1.2218721567312,6.56824184663438,0.383827993711153,10.6654526868437,0.95977287434376,2.94526459600344,-213.154600196695,0.75010605853592
27,-59716.689924141,1.22187451304057,6.56818647718671,0.380999357709003,10.6654025820924,0.962953981949193,2.9419863587989,-223.15459875188,0.750079406258068
28,-62492.4407828405,1.22187447704591,6.56812738172886,0.378255463433961,10.6653534710151,0.966140638406811,2.93870812158713,-233.15459732912,0.750053001569721
29,-65266.1920368737,1.22187341199128,6.5680684356577,0.375595580502336,10.6653039813643,0.969332875326455,2.93542988436856,-243.154595927099,0.750026191880351
30,-68037.9429655212,1.22187540316793,6.56801195742478,0.37301158048628,10.6652542686521,0.972530736708734,2.93215164714401,-253.154594543342,0.749999758002729
31,-70807.693900437,1.22187513654347,6.56795654201478,0.370498328888676,10.6652064242354,0.975734265784726,2.92887340991407,-263.154593175994,0.749975187752864
32,-73575.4449506115,1.22187465372707,6.56790251309673,0.368054795003026,10.6651593174182,0.978943483155074,2.92559517267906,-273.154591824149,0.749951428134304
33,-76341.1959789343,1.2218753664817,6.56784987561829,0.365678940827548,10.6651124063326,0.982158416612062,2.92231693543925,-283.15459048692,0.749928249553103
34,-79104.9468739581,1.22187575483409,6.5677987943171,0.363367449563478,10.6650661690907,0.985379103155754,2.91903869819507,-293.154589163023,0.749905887247705
35,-81866.6976919223,1.22187516342496,6.56774854972905,0.361117362132651,10.6650210043051,0.98860557475645,2.91576046094695,-303.154587851134,0.749884734235514
36,-84626.4489203343,1.22187409395358,6.56769839846967,0.358933269710014,10.6649756921227,0.991837849323922,2.91248222369469,-313.154586551893,0.749863335065292
37,-87384.1999100781,1.22187565483982,6.56765261587992,0.356795886786468,10.6649317829274,0.995075991700746,2.90920398643965,-323.154585261132,0.749844258204693
38,-90139.950851555,1.22187641827246,6.56760661678107,0.354714169875406,10.6648881360863,0.998320007207516,2.90592574918135,-333.154583980318,0.749825511607216
39,-92893.7016622457,1.22187648468477,6.56756029750656,0.352689500330476,10.664844483227,1.00156992586367,2.90264751191985,-343.154582709259,0.749806663588069
40,-95645.4527089863,1.22187633116658,6.56749654009486,0.350811588702633,10.6647895600096,1.00482562028874,2.89936927465012,-353.154581463308,0.749774722072371
41,-98395.2037631995,1.22187711767893,6.56745571784912,0.348933054092749,10.664745870046,1.00808748937116,2.89609103738047,-363.154580217089,0.749756941764335
42,NaN,1.22187777744895,6.56742048896599,0.347067571899606,10.6647079642463,1.0113554392294,2.89281280012981,-373.154578971477,0.749745385192845
43,-99082.3289844143,1.22187803312714,6.56744464144806,0.34846669536632,10.6647345847914,1.00890445418418,2.89527147806781,-365.654579905686,0.749752430586421
44,-100455.084566639,1.22187845385214,6.56742587151274,0.347536165070106,10.6647145839983,1.0105391732017,2.89363235839452,-370.65457928308,0.749745549788591
45,NaN,1.22187843780907,6.56739275132045,0.345679977270612,10.6646789335458,1.01382710778134,2.89033866907518,-380.654578027672,0.749736245834713
46,NaN,1.22187875734266,6.56741562022843,0.347072128383448,10.6647043249041,1.01136113891419,2.89280893606469,-373.154578969228,0.749741907726172
47,-100618.682590949,1.22187871049939,6.56742289102678,0.347420158146729,10.6647119008642,1.01074466212212,2.89342650281206,-371.279579204617,0.749744606936288
48,-100890.490443046,1.22187887461926,6.56741717905879,0.347173658529312,10.6647062805402,1.01118201470054,2.89298842390098,-372.529579027006,0.7497424389337
49,NaN,1.22187894373598,6.56739944006597,0.346301248292131,10.6646876719283,1.01273748277738,2.89143077826443,-375.029577905456,0.749736136185459
