"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV"
13,4,.,17.1,0,2,.,.,4,1,1,30,1,3,4,0,0
13,6,.,27.5,0,2,.,.,4,1,1,30,1,3,6,0,0
13,8,.,15,0,2,.,.,4,1,1,30,1,3,8,0,0
13,12,.,7.14,0,2,.,.,4,1,1,30,1,3,12,0,0
13,24,.,1.4,0,2,.,.,4,1,1,30,1,3,24,0,0
14,0,30000,.,1,1,0,.,4,1,1,30,1,3,0,0,0
14,0,.,0,0,2,.,.,4,1,1,30,1,3,0,0,0
14,0.25,.,0,0,2,.,.,4,1,1,30,1,3,0.25,0,0
14,0.5,.,0,0,2,.,.,4,1,1,30,1,3,0.5,0,0
14,1,.,5.94,0,2,.,.,4,1,1,30,1,3,1,0,0
14,2,.,9.36,0,2,.,.,4,1,1,30,1,3,2,0,0
14,4,.,8.74,0,2,.,.,4,1,1,30,1,3,4,0,0
14,6,.,16.7,0,2,.,.,4,1,1,30,1,3,6,0,0
14,8,.,8.75,0,2,.,.,4,1,1,30,1,3,8,0,0
14,12,.,3.62,0,2,.,.,4,1,1,30,1,3,12,0,0
14,24,.,1.46,0,2,.,.,4,1,1,30,1,3,24,0,0
15,0,1e+05,.,1,1,0,.,4,1,1,100,1,1,0,0,0
15,0,.,0,0,2,.,.,4,1,1,100,1,1,0,0,0
15,0.25,.,11.6,0,2,.,.,4,1,1,100,1,1,0.25,0,0
15,0.5,.,40.6,0,2,.,.,4,1,1,100,1,1,0.5,0,0
15,1,.,72.1,0,2,.,.,4,1,1,100,1,1,1,0,0
15,2,.,39.7,0,2,.,.,4,1,1,100,1,1,2,0,0
15,4,.,45.7,0,2,.,.,4,1,1,100,1,1,4,0,0
15,6,.,61.8,0,2,.,.,4,1,1,100,1,1,6,0,0
15,8,.,56.1,0,2,.,.,4,1,1,100,1,1,8,0,0
15,12,.,27,0,2,.,.,4,1,1,100,1,1,12,0,0
15,24,.,.,1,2,.,.,4,1,1,100,1,1,12,1,0
16,0,1e+05,.,1,1,0,.,4,1,1,100,1,1,0,0,0
16,0,.,0,0,2,.,.,4,1,1,100,1,1,0,0,0
16,0.25,.,6.47,0,2,.,.,4,1,1,100,1,1,0.25,0,0
16,0.5,.,11.4,0,2,.,.,4,1,1,100,1,1,0.5,0,0
16,1,.,155,0,2,.,.,4,1,1,100,1,1,1,0,0
16,2,.,194,0,2,.,.,4,1,1,100,1,1,2,0,0
16,4,.,88,0,2,.,.,4,1,1,100,1,1,4,0,0
16,6,.,324,0,2,.,.,4,1,1,100,1,1,6,0,0
16,8,.,253,0,2,.,.,4,1,1,100,1,1,8,0,0
16,12,.,72.5,0,2,.,.,4,1,1,100,1,1,12,0,0
16,24,.,.,1,2,.,.,4,1,1,100,1,1,12,1,0
17,0,1e+05,.,1,1,0,.,4,1,1,100,1,1,0,0,0
17,0,.,0,0,2,.,.,4,1,1,100,1,1,0,0,0
17,0.25,.,10.8,0,2,.,.,4,1,1,100,1,1,0.25,0,0
17,0.5,.,17.4,0,2,.,.,4,1,1,100,1,1,0.5,0,0
17,1,.,42.3,0,2,.,.,4,1,1,100,1,1,1,0,0
17,2,.,48.5,0,2,.,.,4,1,1,100,1,1,2,0,0
17,4,.,54.5,0,2,.,.,4,1,1,100,1,1,4,0,0
17,6,.,135,0,2,.,.,4,1,1,100,1,1,6,0,0
17,8,.,63.9,0,2,.,.,4,1,1,100,1,1,8,0,0
17,12,.,36.3,0,2,.,.,4,1,1,100,1,1,12,0,0
17,24,.,.,1,2,.,.,4,1,1,100,1,1,12,1,0
