"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV","CMT2"
5,0.25,.,1160,0,3,.,.,4,1,1,2.5,2,1,0.25,0,0,3
5,0.5,.,820,0,3,.,.,4,1,1,2.5,2,1,0.5,0,0,3
5,1,.,456,0,3,.,.,4,1,1,2.5,2,1,1,0,0,3
5,2,.,57.8,0,3,.,.,4,1,1,2.5,2,1,2,0,0,3
5,4,.,6.87,0,3,.,.,4,1,1,2.5,2,1,4,0,0,3
5,6,.,6.05,0,3,.,.,4,1,1,2.5,2,1,6,0,0,3
5,8,.,6.11,0,3,.,.,4,1,1,2.5,2,1,8,0,0,3
5,12,.,1.71,0,3,.,.,4,1,1,2.5,2,1,12,0,0,3
5,24,.,.,1,3,.,.,4,1,1,2.5,2,1,12,1,0,3
6,0,10000,.,1,1,0,.,4,1,1,10,1,1,0,0,0,1
6,0,.,0,0,3,.,.,4,1,1,10,1,1,0,0,0,3
6,0.25,.,0,0,3,.,.,4,1,1,10,1,1,0.25,0,0,3
6,0.5,.,1.39,0,3,.,.,4,1,1,10,1,1,0.5,0,0,3
6,1,.,9.58,0,3,.,.,4,1,1,10,1,1,1,0,0,3
6,2,.,9.51,0,3,.,.,4,1,1,10,1,1,2,0,0,3
6,4,.,4.99,0,3,.,.,4,1,1,10,1,1,4,0,0,3
6,6,.,3.21,0,3,.,.,4,1,1,10,1,1,6,0,0,3
6,8,.,9.18,0,3,.,.,4,1,1,10,1,1,8,0,0,3
6,12,.,3.83,0,3,.,.,4,1,1,10,1,1,12,0,0,3
6,24,.,.,1,3,.,.,4,1,1,10,1,1,12,1,0,3
7,0,10000,.,1,1,0,.,4,1,1,10,1,1,0,0,0,1
7,0,.,0,0,3,.,.,4,1,1,10,1,1,0,0,0,3
7,0.25,.,2.72,0,3,.,.,4,1,1,10,1,1,0.25,0,0,3
7,0.5,.,3.06,0,3,.,.,4,1,1,10,1,1,0.5,0,0,3
7,1,.,5.39,0,3,.,.,4,1,1,10,1,1,1,0,0,3
7,2,.,24.7,0,3,.,.,4,1,1,10,1,1,2,0,0,3
7,4,.,3.76,0,3,.,.,4,1,1,10,1,1,4,0,0,3
7,6,.,3.19,0,3,.,.,4,1,1,10,1,1,6,0,0,3
7,8,.,6.43,0,3,.,.,4,1,1,10,1,1,8,0,0,3
7,12,.,4.92,0,3,.,.,4,1,1,10,1,1,12,0,0,3
7,24,.,.,1,3,.,.,4,1,1,10,1,1,12,1,0,3
8,0,10000,.,1,1,0,.,4,1,1,10,1,1,0,0,0,1
8,0,.,0,0,3,.,.,4,1,1,10,1,1,0,0,0,3
8,0.25,.,4.44,0,3,.,.,4,1,1,10,1,1,0.25,0,0,3
8,0.5,.,9.72,0,3,.,.,4,1,1,10,1,1,0.5,0,0,3
8,1,.,17.7,0,3,.,.,4,1,1,10,1,1,1,0,0,3
8,2,.,7.34,0,3,.,.,4,1,1,10,1,1,2,0,0,3
8,4,.,4.99,0,3,.,.,4,1,1,10,1,1,4,0,0,3
8,6,.,6.18,0,3,.,.,4,1,1,10,1,1,6,0,0,3
8,8,.,4.56,0,3,.,.,4,1,1,10,1,1,8,0,0,3
8,12,.,5.42,0,3,.,.,4,1,1,10,1,1,12,0,0,3
8,24,.,.,1,3,.,.,4,1,1,10,1,1,12,1,0,3
9,0,30000,.,1,1,0,.,4,1,1,30,1,1,0,0,0,1
9,0,.,0,0,3,.,.,4,1,1,30,1,1,0,0,0,3
9,0.25,.,61.1,0,3,.,.,4,1,1,30,1,1,0.25,0,0,3
9,0.5,.,151,0,3,.,.,4,1,1,30,1,1,0.5,0,0,3
9,1,.,61.8,0,3,.,.,4,1,1,30,1,1,1,0,0,3
9,2,.,29.1,0,3,.,.,4,1,1,30,1,1,2,0,0,3
9,4,.,12.2,0,3,.,.,4,1,1,30,1,1,4,0,0,3
9,6,.,35.3,0,3,.,.,4,1,1,30,1,1,6,0,0,3
9,8,.,31.9,0,3,.,.,4,1,1,30,1,1,8,0,0,3
9,12,.,20,0,3,.,.,4,1,1,30,1,1,12,0,0,3
9,24,.,.,1,3,.,.,4,1,1,30,1,1,12,1,0,3
10,0,30000,.,1,1,0,.,4,1,1,30,1,1,0,0,0,1
10,0,.,0,0,3,.,.,4,1,1,30,1,1,0,0,0,3
10,0.25,.,7.49,0,3,.,.,4,1,1,30,1,1,0.25,0,0,3
10,0.5,.,11.4,0,3,.,.,4,1,1,30,1,1,0.5,0,0,3
10,1,.,44.7,0,3,.,.,4,1,1,30,1,1,1,0,0,3
10,2,.,41.2,0,3,.,.,4,1,1,30,1,1,2,0,0,3
10,4,.,45.4,0,3,.,.,4,1,1,30,1,1,4,0,0,3
10,6,.,75.2,0,3,.,.,4,1,1,30,1,1,6,0,0,3
10,8,.,77.2,0,3,.,.,4,1,1,30,1,1,8,0,0,3
10,12,.,43.9,0,3,.,.,4,1,1,30,1,1,12,0,0,3
10,24,.,.,1,3,.,.,4,1,1,30,1,1,12,1,0,3
11,0,30000,.,1,1,0,.,4,1,1,30,1,1,0,0,0,1
11,0,.,0,0,3,.,.,4,1,1,30,1,1,0,0,0,3
