TABLE NO.  2
 ID          CL          V2          V3          Q           KA          F1          DOSE
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  1.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  2.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  3.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  4.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  5.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  6.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  5.0000E+00
  7.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  7.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  7.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
  7.0000E+00  1.8562E+00  2.8454E-01  5.1095E-02  3.1662E-02  1.9096E-01  4.0048E-03  1.0000E+01
