TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  1.0000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  2.5000E-01  0.0000E+00  5.9483E+03  0.0000E+00  2.0206E+03  1.5682E+00  1.5682E+00  0.0000E+00  5.9483E+03  2.0206E+03  3.9277E+03  1.5682E+00
  1.0000E+00  5.0000E-01  0.0000E+00  1.6680E+03  0.0000E+00  1.5205E+03  7.8232E-02  7.8232E-02  0.0000E+00  1.6680E+03  1.5205E+03  1.4745E+02  7.8232E-02
  1.0000E+00  7.5000E-01  0.0000E+00  0.0000E+00  1.0000E+00  1.1442E+03  0.0000E+00 -8.0674E-01  1.0000E+00  0.0000E+00  1.1442E+03  0.0000E+00  0.0000E+00
  1.0000E+00  1.0000E+00  0.0000E+00  1.5447E+02  0.0000E+00  8.6103E+02 -6.6201E-01 -6.6201E-01  0.0000E+00  1.5447E+02  8.6103E+02 -7.0656E+02 -6.6201E-01
  1.0000E+00  2.0000E+00  0.0000E+00  3.8797E+01  0.0000E+00  2.7611E+02 -6.9338E-01 -6.9338E-01  0.0000E+00  3.8797E+01  2.7611E+02 -2.3731E+02 -6.9338E-01
  1.0000E+00  4.0000E+00  0.0000E+00  6.1040E+00  0.0000E+00  2.8392E+01 -6.3330E-01 -6.3330E-01  0.0000E+00  6.1040E+00  2.8392E+01 -2.2288E+01 -6.3330E-01
  1.0000E+00  8.0000E+00  0.0000E+00  7.6630E-01  0.0000E+00  3.0022E-01  1.2524E+00  1.2524E+00  0.0000E+00  7.6630E-01  3.0022E-01  4.6608E-01  1.2524E+00
  2.0000E+00  0.0000E+00  1.0000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.5000E-01  0.0000E+00  9.2556E+03  0.0000E+00  2.0206E+03  2.8887E+00  2.8887E+00  0.0000E+00  9.2556E+03  2.0206E+03  7.2350E+03  2.8887E+00
  2.0000E+00  5.0000E-01  0.0000E+00  1.5856E+03  0.0000E+00  1.5205E+03  3.4533E-02  3.4533E-02  0.0000E+00  1.5856E+03  1.5205E+03  6.5086E+01  3.4533E-02
  2.0000E+00  7.5000E-01  0.0000E+00  5.6478E+02  0.0000E+00  1.1442E+03 -4.0853E-01 -4.0853E-01  0.0000E+00  5.6478E+02  1.1442E+03 -5.7942E+02 -4.0853E-01
  2.0000E+00  1.0000E+00  0.0000E+00  5.4729E+01  0.0000E+00  8.6103E+02 -7.5546E-01 -7.5546E-01  0.0000E+00  5.4729E+01  8.6103E+02 -8.0630E+02 -7.5546E-01
  2.0000E+00  2.0000E+00  0.0000E+00  6.1446E+00  0.0000E+00  2.7611E+02 -7.8879E-01 -7.8879E-01  0.0000E+00  6.1446E+00  2.7611E+02 -2.6996E+02 -7.8879E-01
  2.0000E+00  4.0000E+00  0.0000E+00  2.4249E+00  0.0000E+00  2.8392E+01 -7.3784E-01 -7.3784E-01  0.0000E+00  2.4249E+00  2.8392E+01 -2.5967E+01 -7.3784E-01
  2.0000E+00  8.0000E+00  0.0000E+00  6.7820E-01  0.0000E+00  3.0022E-01  1.0157E+00  1.0157E+00  0.0000E+00  6.7820E-01  3.0022E-01  3.7798E-01  1.0157E+00
  3.0000E+00  0.0000E+00  1.0000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.5000E-01  0.0000E+00  3.1522E+03  0.0000E+00  2.0206E+03  4.5182E-01  4.5182E-01  0.0000E+00  3.1522E+03  2.0206E+03  1.1316E+03  4.5182E-01
  3.0000E+00  5.0000E-01  0.0000E+00  8.5389E+02  0.0000E+00  1.5205E+03 -3.5369E-01 -3.5369E-01  0.0000E+00  8.5389E+02  1.5205E+03 -6.6661E+02 -3.5369E-01
  3.0000E+00  7.5000E-01  0.0000E+00  1.6370E+02  0.0000E+00  1.1442E+03 -6.9132E-01 -6.9132E-01  0.0000E+00  1.6370E+02  1.1442E+03 -9.8050E+02 -6.9132E-01
  3.0000E+00  1.0000E+00  0.0000E+00  7.7905E+00  0.0000E+00  8.6103E+02 -7.9944E-01 -7.9944E-01  0.0000E+00  7.7905E+00  8.6103E+02 -8.5324E+02 -7.9944E-01
  3.0000E+00  2.0000E+00  0.0000E+00  6.0049E+00  0.0000E+00  2.7611E+02 -7.8920E-01 -7.8920E-01  0.0000E+00  6.0049E+00  2.7611E+02 -2.7010E+02 -7.8920E-01
  3.0000E+00  4.0000E+00  0.0000E+00  8.7410E-01  0.0000E+00  2.8392E+01 -7.8191E-01 -7.8191E-01  0.0000E+00  8.7410E-01  2.8392E+01 -2.7518E+01 -7.8191E-01
  3.0000E+00  8.0000E+00  0.0000E+00  6.0940E-01  0.0000E+00  3.0022E-01  8.3082E-01  8.3082E-01  0.0000E+00  6.0940E-01  3.0022E-01  3.0918E-01  8.3082E-01
