Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,3518.53005372584,2.79619470675467,2.20867173165009,4.62895097572725,-1.37985187067739,1.94404569539763,-0.466843684992178,-6.13311393755189,3.29899589635724
2,2944.67822864788,2.79607297123133,2.20878915652485,5.04445242111316,-1.37868387349001,2.23561108429015,-0.466883547611188,-6.62505919140776,2.59165111085631
3,1843.87195112826,2.7958300275522,2.20899969256518,5.93893786788519,-1.37689391699465,2.75009903164565,-0.466963100161304,-7.60681855477539,1.18760583278226
4,40659.8915245416,2.79514366744812,2.2083519622717,7.03485241874808,-1.37223598611227,4.26351778584109,-0.467187850592241,-10.3804674155019,-1.0067925657249
5,1622.48464895483,2.795669282924,2.20898580247267,6.3229774078093,-1.3760544891635,3.02866540978784,-0.467015736414846,-8.25640344795075,0.593507328890463
6,1260.22545068859,2.79543435306325,2.2089998877013,6.17341309531725,-1.37536134581617,3.3016655170083,-0.467092664818944,-9.20577818103427,0.635797371723083
7,474.522214249784,2.7949923597755,2.20901504948946,5.87825880042942,-1.37405536715468,4.13202832436586,-0.467237396689739,-10.9919166406336,0.453889746029428
8,70335195966889656,2.79452869088289,2.20909983909344,4.26716892985639,-1.3738258104492,7.15823268961108,-0.467389226294644,-12.8656483568027,-0.403784872321529
9,72054965.4985601,2.7948771656697,2.20902088617875,5.42650439811127,-1.37399821236167,4.87820600554678,-0.467275117304275,-11.4574273811342,0.304101307746116
10,290.997479745317,2.79496445952392,2.2090087980679,5.74337704974616,-1.37404115780566,4.30968206925378,-0.467246532700892,-11.1046643084306,0.448056859665242
11,90200.6318313769,2.79492110093338,2.20900361429531,5.47072516392278,-1.37410212230279,4.68746935191734,-0.467260730586012,-11.27988064828,0.400760496558597
12,185.952291554952,2.79495373841852,2.20900556269052,5.67106569730119,-1.37405550468766,4.40185884170413,-0.467250043355203,-11.1479893525261,0.443318596815687
13,2091.81414059185,2.79493039669843,2.20900729335144,5.55002392621716,-1.37408557856348,4.59482488519941,-0.467257686663167,-11.2423155450826,0.401899234221408
14,144.714466789018,2.79494818116581,2.20900446398908,5.63669971315668,-1.37406386877166,4.44871542162162,-0.467251863092296,-11.1704467586946,0.438283236598416
15,106.403290076828,2.794918046023,2.20899411998942,5.64130762042389,-1.37393257966179,4.47635989874694,-0.467261730924495,-11.2922258423689,0.441346957830964
16,35.0138183827348,2.79485694898768,2.20897108998211,5.66743851831222,-1.37364655930184,4.50064168991943,-0.46728173731026,-11.5391249866864,0.457726727552089
17,-107.422698426842,2.79473446101089,2.20892381778565,5.71229422793409,-1.37307854434292,4.54365558424137,-0.467321846322141,-12.0341109791141,0.491287061548025
18,-391.426667771585,2.79448870379116,2.20883007971181,5.78448185580199,-1.37196059488406,4.61357178819152,-0.467402320173566,-13.0272401374862,0.551235540197222
19,-957.561856609666,2.79399557574905,2.2086577727333,5.88717786806493,-1.36979803046438,4.71359000919292,-0.467563796254873,-15.0200191816906,0.642211305041086
20,-2086.82400459182,2.79300706790529,2.20838266481813,6.01002525365506,-1.3657076082227,4.83381409343643,-0.467887485762105,-19.0146768524697,0.75687120866326
21,-4341.51391915765,2.79102806850132,2.20802399386641,6.13095108455633,-1.35807569983073,4.95272056996851,-0.468535514349761,-27.0120085877513,0.874458985580623
22,-7156.91469066003,2.78855370819005,2.20781325871483,6.20695657158137,-1.34914285810576,5.0278044573697,-0.469345750176334,-37.0111425956544,0.950712832838418
23,-9970.0202214979,2.78607920124529,2.20773098631965,6.24936445858689,-1.3405212038491,5.06981337392371,-0.470156034018433,-47.0108691639628,0.993420502866351
24,-12781.0428525888,2.78360465072955,2.20771078894235,6.27434679848612,-1.33204102154745,5.09458437466177,-0.470966332127964,-57.0107718069095,1.0185337941615
25,-15590.0389025387,2.78113008558755,2.20772164816491,6.28950040874875,-1.32362304371965,5.10961481030846,-0.471776635026902,-67.0107335560015,1.03375970183815
26,-18397.024951706,2.77865551517561,2.20774687596803,6.29885101728042,-1.31522444733119,5.118892766261,-0.472586939651496,-77.0107166014386,1.0431543127523
27,-21202.0096296956,2.77618094113382,2.20777687632972,6.30468028447798,-1.30682035157808,5.12467856512144,-0.473397245464695,-87.0107143154651,1.04901166011629
28,-24004.988094062,2.77370636941278,2.20780587998982,6.30833434576835,-1.29839559525228,5.1283068002376,-0.474207550517957,-97.0107026511078,1.05268430083295
29,-26805.9692582565,2.77123179637835,2.2078303240209,6.3106328508347,-1.28994055471475,5.13058832644025,-0.475017856001293,-107.010696294301,1.05499490186113
30,-29604.9493327502,2.76875722310382,2.20784797159842,6.31207640730479,-1.28144897269264,5.13202506942741,-0.475828161563251,-117.010690907766,1.05644587172895
31,-32401.9300894146,2.76628264959408,2.2078573956771,6.31298244120786,-1.27291663441727,5.13292762712249,-0.476638467202229,-127.010686471731,1.05735781464447
32,-35196.9107739649,2.7638080760383,2.20785766981253,6.31354756680661,-1.26434058971147,5.13349272824571,-0.477448772856281,-137.010682221737,1.05792711367614
33,-37989.891556294,2.76133350245298,2.20784817776814,6.31389716724089,-1.25571867989545,5.1338436714464,-0.478259078520006,-147.01067809111,1.05828000898201
34,-40780.8719386556,2.75885892887839,2.20782855158717,6.31410929382839,-1.24704929307789,5.13405917321714,-0.479069384180217,-157.010673917117,1.05849482029948
35,-43569.8520109629,2.75638435529776,2.20779845373234,6.31423519874696,-1.23833103346371,5.13418831237204,-0.479879689842409,-167.010669767568,1.05862307422728
36,-46356.8332633265,2.75390978173183,2.20775769956284,6.31430695703406,-1.2295627697099,5.13426257553863,-0.480689995499786,-177.010665558598,1.05869647831147
37,-49141.8137567347,2.75143520818089,2.20770616312823,6.31434133044445,-1.22074350791384,5.13430217951648,-0.481500301152253,-187.010661289034,1.05873268730746
38,-51924.7945199759,2.74896063463143,2.20764371611532,6.31435409209429,-1.21187227069626,5.13431942078305,-0.482310606804223,-197.010657013493,1.05874733562896
39,-54705.7748813524,2.74648606109421,2.20757028429475,6.31435231319502,-1.202948159996,5.13432250242464,-0.483120912452201,-207.01065268853,1.05874725817292
40,-57484.7555239102,2.74401148756877,2.20748575162642,6.31434184769114,-1.19397023925583,5.13431635300519,-0.483931218096318,-217.010648315926,1.05873835156471
