Iteration,Obj,KA,Q,V2,V3,CL,FP,error_ADD1,error_PROP1
1,6668.03333469669,-0.194043708336507,3.31443907295262,8.20046087704988,6.28327605610182,1.07121628167472,-1.750361699796,-3.50532356084196,1.27315896970736
2,4366.31729982904,-0.194078029475128,3.33626100785088,7.9791063418622,6.29260871977263,1.07604401545432,-1.75035200909034,-4.47515217028827,1.37239621443129
3,2820.37083334983,-0.194148180408179,3.39315628310561,7.7283085761528,6.31764317425352,1.08853591522365,-1.75033220170425,-6.45744020151148,1.4325193390689
4,1236.21222814922,-0.194289147159103,3.54874874700342,7.40970235104618,6.39012379737658,1.1221195815957,-1.75029239919928,-10.4408042300342,1.40582779817747
5,-1237.2910055753,-0.194570802117059,4.03975165920906,6.89296579701057,6.65122123350105,1.22347296568866,-1.75021287283728,-18.3996613408497,1.14116103212588
6,-4370.01512641867,-0.194916627783108,5.37801388752338,5.91234845808335,7.65315977208917,1.4626647741023,-1.75011522762875,-28.1718204440176,0.309742593899203
7,13925781.6923807,-0.195201791843322,8.65911977037456,4.54652108324371,12.20248672193,1.79485651670921,-1.75003471045827,-36.2298359139207,-0.96719704648552
8,-5393.88644014531,-0.194987516757699,6.17199979785746,5.39391069453814,8.75915786197602,1.54350169217142,-1.7500952118538,-30.1749636643423,-0.0195893187729929
9,370907.042554018,-0.19511596296073,7.68175408753997,4.96222087124549,11.8167881360412,1.63594391232779,-1.75005894457376,-33.8045286603732,-0.0733977239408976
10,-5704.73094267888,-0.195018649325732,6.59375573176137,5.11608423929319,9.48920232384449,1.56658476494869,-1.75008642145333,-31.0546913363544,-0.0156055687408929
11,-6238.4221806578,-0.195057664888766,6.44502551834743,5.12646918322206,10.0268563929769,1.57602039013056,-1.75007540525886,-32.1571725194922,0.173195349418602
12,-6993.88843388248,-0.195145396114299,6.41497824753537,5.13404047938535,10.2751439832699,1.58202699473424,-1.75005063400949,-34.6362351755929,0.377169313959295
13,-8416.13359361356,-0.195322137473801,6.42230405254798,5.17034145682388,10.444817624451,1.58805076974495,-1.75000073040603,-39.6304992072101,0.541882579317529
14,-11231.5292353465,-0.195675972158551,6.46306345858653,5.23431805494209,10.556782738281,1.59539620879305,-1.74990082382022,-49.6289729327002,0.652236700813857
15,-14042.3221961195,-0.196029847491493,6.49725667038179,5.28054226439597,10.6024640724575,1.60100211802813,-1.74980090575724,-59.6285952733511,0.69798488948942
16,-16850.8411401722,-0.196383732280316,6.5200751799224,5.30736370843145,10.6240905793845,1.60594192725764,-1.74970098502436,-69.6284848133053,0.719812910017248
17,-19657.3148272965,-0.196737619760221,6.53323643896547,5.32192784317226,10.6357568619499,1.61057977978384,-1.74960106353163,-79.628450396433,0.731864728326242
18,-22461.7763212439,-0.197091508054033,6.54063240442335,5.32993766621144,10.6422874455336,1.61506639467081,-1.7495011418091,-89.6284389785092,0.738690174618809
19,-25264.2353288659,-0.197445396751913,6.54478625560457,5.33440860367291,10.6459562063233,1.61947620314137,-1.74940121997247,-99.6284389785092,0.742560562721025
20,-28064.6912517675,-0.197799285285318,6.54711982755938,5.33692479802164,10.6480069902712,1.62384934255708,-1.74930129818229,-109.628434330877,0.744755001193389
21,-30863.1473205881,-0.19815317390844,6.54842686959512,5.33834629518999,10.6491403343823,1.62820815764946,-1.74920137636678,-119.628432218415,0.74599888691462
22,-33659.6034327241,-0.198507062559574,6.549153002598,5.33915030350675,10.6497528066185,1.63256526224406,-1.74910145454335,-129.62843089751,0.746703377984445
23,-36454.059559313,-0.198860951219474,6.54954969010054,5.33960473001751,10.65006926992,1.63692785151239,-1.74900153271745,-139.628429824302,0.747101622588922
