ID,TIME,AMT,DV,MDV,ADDL,II,TIMEUNIT,NAME,SPECIES,SEX,MULTIPLE,DOSE,ROUTE,FORMULATION,TAD,CENS,LIV,EVID,ADM,RATE,YTYPE
9,2,.,2.7472,0,.,.,HOURS,OUTPUT1,2,1,1,10,1,1,2,0,0,0,.,NA,1
9,4,.,2.1499,0,.,.,HOURS,OUTPUT1,2,1,1,10,1,1,4,0,0,0,.,NA,1
9,8,.,1.6128,0,.,.,HOURS,OUTPUT1,2,1,1,10,1,1,8,0,0,0,.,NA,1
10,0,25000,.,1,0,.,HOURS,INPUT2,2,1,1,25,1,1,0,0,0,1,2,NA,.
10,0,.,0,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0,0,0,0,.,NA,1
10,0.25,.,8.2588,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.25,0,0,0,.,NA,1
10,0.5,.,8.7963,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.5,0,0,0,.,NA,1
10,0.75,.,8.6617,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.75,0,0,0,.,NA,1
10,1,.,5.0644,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,1,0,0,0,.,NA,1
10,2,.,2.4789,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,2,0,0,0,.,NA,1
10,4,.,3.6572,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,4,0,0,0,.,NA,1
10,8,.,3.1282,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,8,0,0,0,.,NA,1
11,0,25000,.,1,0,.,HOURS,INPUT2,2,1,1,25,1,1,0,0,0,1,2,NA,.
11,0,.,0,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0,0,0,0,.,NA,1
11,0.25,.,9.2289,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.25,0,0,0,.,NA,1
11,0.5,.,9.6901,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.5,0,0,0,.,NA,1
11,0.75,.,5.2486,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.75,0,0,0,.,NA,1
11,1,.,3.5084,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,1,0,0,0,.,NA,1
11,2,.,1.8254,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,2,0,0,0,.,NA,1
11,4,.,2.1519,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,4,0,0,0,.,NA,1
11,8,.,1.397,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,8,0,0,0,.,NA,1
12,0,25000,.,1,0,.,HOURS,INPUT2,2,1,1,25,1,1,0,0,0,1,2,NA,.
12,0,.,0,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0,0,0,0,.,NA,1
12,0.25,.,7.5951,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.25,0,0,0,.,NA,1
12,0.5,.,7.3475,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.5,0,0,0,.,NA,1
12,0.75,.,6.39,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,0.75,0,0,0,.,NA,1
12,1,.,3.4005,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,1,0,0,0,.,NA,1
12,2,.,1.6606,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,2,0,0,0,.,NA,1
12,4,.,2.7451,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,4,0,0,0,.,NA,1
12,8,.,1.755,0,.,.,HOURS,OUTPUT1,2,1,1,25,1,1,8,0,0,0,.,NA,1
