"","DOSE","SEX","CMAX","AUCLST","TMAX","LAMZHL","CLFO","VZFO","AUCdose"
"1",100,"M",3.68966666666667,14.3174166666667,0.666666666666667,40.1636979594323,998.588262105339,57862.1661746263,0.143174166666667
"2",100,"F",3.675,10.9989166666667,1.66666666666667,NA,NA,NA,0.109989166666667
"3",100,"both",3.68233333333333,12.6581666666667,1.16666666666667,40.1636979594323,998.588262105339,57862.1661746263,0.126581666666667
"4",300,"M",6.7,58.796,4.16666666666667,NA,NA,NA,0.195986666666667
"5",300,"F",2.71266666666667,30.580125,0.5,11.6620584061278,4374.44085607942,73599.0655210321,0.10193375
"6",300,"both",4.70633333333333,47.50965,2.33333333333333,11.6620584061278,4374.44085607942,73599.0655210321,0.1583655
"7",1000,"M",9.4866,77.37,1.2,20.2352846787407,8080.75715702649,236686.250613303,0.07737
"8",1000,"F",15.6472,57.79795,1.2,15.4847877933306,17003.9062299546,222174.905215329,0.05779795
"9",1000,"both",12.5669,67.583975,1.2,18.1993574421364,11904.9639025671,230467.1025856,0.067583975
